Train/Test,Grantor,Grantee,Program,Date,EndDate,Amount,AmendmentNumber,PreviousAmendingDate,NewAmendDate,AmendAmount,Funding Agency,Funding Source,Link to OCR'ed Document,Link to Text Doc,Entered into Sublime,Link to Tagged Documents,,,,,text_id,,,,,,,comments on testing data
Train,City of Vista,Operation Hope,Operation HOPE,07/01/18,06/30/19,24740,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1VRvXj-QOP9G14PIZGcZKpv3YwLX8Thm8/view?usp=sharing,https://drive.google.com/file/d/1SHN08vMWsJsVIHE_vxu1ilW8oGTJKjDR/view?usp=sharing,,,,,,,cc 2018 CON operation hope.txt,,,,,,,
Train,City of Vista,Operation Hope,Operation HOPE,07/01/19,06/30/20,26000,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1xMYUgnxMzbwqeVp6VnawdwYdUVaITbNw/view?usp=sharing,https://drive.google.com/file/d/1M5xDZkz1qmbreHgotyA92wAxbyD9pvj0/view?usp=sharing,,,,,,,OH Executed Contract.txt,,,,,,,
Train,City of Vista,Operation Hope,Temporary Shelter,7/1/20,06/30/20,32105,,,,,U.S. Department of Housing and Urban Development,CDBG,,,,,,,,,,,,,,,,
Train,City of Vista,Operation Hope,Temporary Shelter for Single Women,07/01/21,06/30/22,32933,,,,,U.S. Department of Housing and Urban Development,CDBG,,,,,,,,,,,,,,,,
Train,City of Vista,Exodus Recovery,Clinical Social Woerk,8/11/20,8/11/22,391400,3,,,,,Permanent Local Housing Allocation ,,,,,,,,,,,,,,,,
Train,City of Vista,North County Lifeline,Prevention Programs,8/11/20,8/11/21,250000,,,,,U.S. Department of Housing and Urban Development,State Budget Allocation ,,,,,,,,,,,,,,,,
Train,City of Vista,North County Lifeline,Rental Assitance,7/1/2020,6/30/21,255000,1,,,,c,Housing Fund,https://drive.google.com/file/d/1ot4oJDekOhcSVlVhSBsKEzZ1-TzsOtrn/view?usp=sharing,https://drive.google.com/file/d/1dPEMXknBpuWNR6yffPMz-kJ8tKcrBLAV/view?usp=sharing,,,,,,,North County Lifeline RAP.txt,,,,,,,
Train,City of Vista ,Elder Help,HomeShare for Seniros,11/20/20,9/20/22,"70,000",,,,,,,,,,,,,,,,,,,,,,
Train,County of San Diego,Family Health Centers of San Diego Inc.,Substance Use Disorder Outpatient Treatment Adult LGBTQ,06/12/19,,,6,,,,,,,,,,,,,,,,,,,,,
Train,County of San Diego,"Arbor E&T, LLCdba Rescare Workforce Services",,11/21/19,,,1,,,"$4,750,000.00",,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Outreach,7/1/21,6/30/22,"$315,000.00",,,,,,Housing Trust Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Case Management,7/1/21,6/30/22,"$40,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Service Center,7/1/21,6/30/22,"$204,217.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Rental Assistance,7/1/21,6/30/22,"$41,211.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Community Resource Center,Rapid Re-Housing,7/1/21,6/30/22,"$350,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Alliance for Regional Solutions,Shelter,7/1/21,6/30/22,"$25,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,San Diego Urban Corps,Encampment/Trash Cleanup,7/1/21,6/30/22,"$82,010.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,San Diego Humane Society,Animal Care,7/1/21,6/30/22,"$29,825.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Rocket Johns,Restrooms,7/1/21,6/30/22,"$25,000.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Brother Benno's,Housing Assistance,7/1/21,6/30/22,"$10,287.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Catholic Charities,Shelter,7/1/21,6/30/22,"$17,287.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Legal Aid Society,Fair Housing Services,7/1/21,6/30/22,"$46,488.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Women's Resource Center,Shelter,7/1/21,6/30/22,"$10,287.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Outreach,7/1/22,6/30/23,"$315,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Case Management,7/1/22,6/30/23,"$40,000.00",,,,,,Housing Trust Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Service Center,7/1/22,6/30/23,"$204,217.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Interfaith Community Services,Rental Assistance,7/1/22,6/30/23,"$23,698.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Community Resource Center,Rapid Re-Housing,7/1/22,6/30/23,"$350,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Community Resource Center,Employment/Benefits,7/1/22,6/30/23,"$140,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Community Resource Center,Rental Assistance,7/1/22,6/30/23,"$18,698.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Catholic Charities,Shelter Staff,7/1/22,6/30/23,"$155,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Catholic Charities,Shelter,7/1/22,6/30/23,"$12,698.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Alliance for Regional Solutions,Shelter,7/1/22,6/30/23,"$25,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,OrgCode Consulting,Training/Technical Assistance,7/1/22,6/30/23,"$25,560.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,San Diego Urban Corps,Encampment/Trash Cleanup,7/1/22,6/30/23,"$90,623.50",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,San Diego Humane Society,Animal Care,7/1/22,6/30/23,"$29,825.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Rocket Johns,Restrooms,7/1/22,6/30/23,"$25,000.00",,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Brother Benno's,Housing Assistance,7/1/22,6/30/23,"$10,073.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Casa De Amparo,Facility Improvements,7/1/22,6/30/23,"$40,000.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Legal Aid Society,Fair Housing Services,7/1/22,6/30/23,"$23,000.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,Women's Resource Center,Shelter,7/1/22,6/30/23,"$10,000.00",,,,,,CDBG,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,City of Carlsbad,Police Homeless Outreach Team,7/1/21,6/30/22,1674211.47,,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,City of Carlsbad,Homeless Services Division,7/1/21,6/30/22,389758.25,,,,,,General Fund,,,,,,,,,,,,,,,,
No contracts associated,City of Carlsbad,City of Carlsbad,Short Term Motel Vouchers,7/1/21,6/30/22,12781.16,,,,,,General Fund,,,,,,,,,,,,,,,,
Test,City of Carlsbad,Women's Resource Center,Domestic Violence Shelter,7/1/2017,6/30/2018,14896,,,,,,CDBG,https://drive.google.com/file/d/1InbVHEI2hSZoLc991rQzwk5WyAnibi9_/view?usp=sharing,https://drive.google.com/file/d/18N4GnFxv1fSTO53YoW-xvzbS5BvcKzKc/view?usp=sharing,,,,,,,Womens_Resource_Center__2018-01-23_.txt,,,,,,,
Test,City of Carlsbad,Women's Resource Center,Meal Delivery for Seniors,7/1/2019,6/30/2020,10000,,,,,,CDBG,https://drive.google.com/file/d/1MlEeP9qR__rNLWPq56jjGY6lY-r_esGj/view?usp=sharing,https://drive.google.com/file/d/1hTb-L8MKiqWd-zcQmck-a8F2q_xWUv0e/view?usp=sharing,,,,,,,Women_s_Resource_Center_2019.txt,,,,,,,
Test,City of Carlsbad,Urban Corps,Neighborhood Revitalization Services,6/12/2019,6/12/2021,35000,,,,,,,https://drive.google.com/file/d/18fIDZb8KK-WmZ3LMOLNj-mJj19hTxp8Q/view?usp=sharing,https://drive.google.com/file/d/1mvoPQSFojnP8wL0CSrgh9SeKULB446TA/view?usp=sharing,,,,,,,Urban_Corps_of_San_Diego_County__2019.txt,,,,,,,
Test,City of Carlsbad,Urban Corps,Litter Removal,9/17/2018,9/15/2020,198000,2,,,,,General Fund,https://drive.google.com/file/d/1PYpZ68eH5o3hDL8YauWioJVFGtIjE1hv/view?usp=sharing,https://drive.google.com/file/d/1RO88Qb_4Qbe4DUeu_sYJIfg5x8x-_nBw/view?usp=sharing,,,,,,,Fully_Executed_UC_PW_contract_FY19.txt,,,,,,,
Test,City of Carlsbad,Rocket Johns,Restroom Rental,3/11/2020,3/11/2022,200000,,,,,,,https://drive.google.com/file/d/1UTz4VufCmOFf5gi42j1O4yGIybgTz3jF/view?usp=sharing,https://drive.google.com/file/d/1JWik8OJTvj7ncz9s5YMUIjHn_TOYSnjI/view?usp=sharing,,,,,,,Rocket_John_Contract.txt,,,,,,,
Test,City of Carlsbad,Meals on Wheels,Meal Delivery for Seniors,7/1/2019,6/30/2020,10000,,,,,,CDBG,https://drive.google.com/file/d/1f8-GyFTRymcLpQ5e1bKpMVKEAlG1g2po/view?usp=sharing,https://drive.google.com/file/d/19gqmDz4_5FjpmYKBmRp0o_G3AYd16HtA/view?usp=sharing,,,,,,,Meals_on_Wheels_2019.txt,,,,,,,wrong program and 
Test,City of Carlsbad,Legal Aid Society,Fair Housing and Tenant LandLord Services,7/1/2019,6/30/2020,22744,,,,,,CDBG,https://drive.google.com/file/d/1UTH3BER9WwtVMKF44oE-NDcPHitp4h7S/view?usp=sharing,https://drive.google.com/file/d/1L3ugKkLjuLJerR4gGCq8jCI_1W0PAyRs/view?usp=sharing,,,,,,,Legal_Aid_Society_of_San_Diego__2019.txt,,,,,,,
Test,City of Carlsbad,Legal Aid Society,Fair Housing and Tenant LandLord Services,07/01/18,6/2019,20550,,,,,,CDBG,https://drive.google.com/file/d/18gcSaKAbXw0U1YlAdeBN1OhuGg8SJoUy/view?usp=sharing,https://drive.google.com/file/d/1Qt0lfPmHzRtOFsPIkClZbF-SadqJfXYx/view?usp=sharing,,,,,,,Legal_Aid_Society_of_San_Diego__2018-11-05_.txt,,,,,,,
Test,City of Carlsbad,Interfaith Community Services,Low-income Housing Services,03/23/20,6/2021,40000,1,,,,,,https://drive.google.com/file/d/1uC4kgiNKdSVEwiJd3AFTCJ5rYxSRoaza/view?usp=sharing,https://drive.google.com/file/d/1CNPs5mS8txcCKYvEbD5uYKzyNKrhuc61/view?usp=sharing,,,,,,,Interfaith_Community_Services_Inc__2020-03-23_.txt,,,,,,,
Test,City of Carlsbad,Interfaith Community Services,Case Management,06/01/18,6/2021,244944,1,,,,,,https://drive.google.com/file/d/12jLX_2hw4iUKQLuPQBx-WlZPkJrqdg-d/view?usp=sharing,https://drive.google.com/file/d/12jLX_2hw4iUKQLuPQBx-WlZPkJrqdg-d/view?usp=sharing,,,,,,,Interfaith_Community_Services_Inc__2018-06-01_.txt,,,,,,,
Test,City of Carlsbad,Interfaith Community Services,Outreach and Case Management,07/01/20,7/2021,312422,,,,,,,https://drive.google.com/file/d/1ChkbHi8OywTsizuDfgRAWfp-dEOxIkaK/view?usp=sharing,https://drive.google.com/file/d/1C4H3-YnqYu1n4-bZiWqECgCf3fBoLWQR/view?usp=sharing,,,,,,,Interfaith_Community_Services_Contract_FY2020-21.txt,,,,,,,
Test,City of Carlsbad,Interfaith Community Services,Rental Housing Assistance Program,07/01/19,6/2021,59872,1,,,,,CDBG,https://drive.google.com/file/d/1kMIL8mmp0CxHae5h4TrLgs16AETYZPs4/view?usp=sharing,https://drive.google.com/file/d/1sfIjjW3nFvFQYYjJMbZo3gdxdgZHjrKl/view?usp=sharing,,,,,,,Interfaith_Community_Services__2019.txt,,,,,,,
Test,City of Carlsbad,Interfaith Community Services,Rental Housing Assistance Program,07/01/18,6/2019,20061,,,,,,CDBG,https://drive.google.com/file/d/1JGcdWy9XMj2PrpgJk0wDmRGU4KCRvLLM/view?usp=sharing,https://drive.google.com/file/d/1u4YQKR720t0japYZdvir0OxULt6yPjie/view?usp=sharing,,,,,,,Interfaith_Community_Services__2018-11-05_.txt,,,,,,,
Test,City of Lemon Grove,Home Start,Outreach,05/19/20,1/2022,8063.73,,,,,,,https://drive.google.com/file/d/1VHAIS0oh_iYt5U7-NpSq0Dc3oaFXaMuQ/view,https://drive.google.com/file/d/1RkU0fOgPfSKS-j6blDR-i5Alckx8ivIw/view,,,,,,,Home Start Inc.txt,,,,,,,
Test,City of Poway,Elderhelp of San Diego,Outreach and Case Management Services,07/01/18,06/30/21,48000,3,,,,,,https://drive.google.com/file/d/1tLfZ8RRGunAFE_Eg9AUjZ_2QYifVV_6H/view,https://drive.google.com/file/d/1D-n5AAdvZyYcSuVg3Qs0NP9zUZDw0UYf/view,,,,,,,Elderhelp of San Diego - 3rd Amendment.txt,,,,,,,
Test,City of Poway,Interfaith Community Services,Bridge Shelter,7/1/19,6/30/21,40000,,,,,,,https://drive.google.com/file/d/1ZJH28uRK4T3bBJX00DfbZZeddufHEhZF/view?usp=drive_link,https://drive.google.com/file/d/1h2rPuf_mV4cWZdMzRyDcUc8fi4Tp44yQ/view?usp=drive_link,,,,,,,Interfaith Community Services - Second Amendment,,,,,,,
Test,City of Poway,Jewish Family Services,Food Drive Services,9/25/20,3/31/22,337645.09,,,,,,,https://drive.google.com/file/d/1lSfxVBPHSfo1v_xzkFUmR2OjLFhouO46/view?usp=drive_link,https://drive.google.com/file/d/1JhJdqE12ztjLpB4cPvvLs_tMO5LvGEPV/view?usp=drive_link,,,,,,,Jewish Family Service of San Diego - First Amendment.txt,,,,,,,
Test,City of San Marcos,Interfaith Community Services,Regional Homless Shelter Program,7/1/20,6/30/21,125000,,,,,City,,https://drive.google.com/file/d/1xKZaTuZTBs_JeLt30Hvil61dTFHCpvRc/view?usp=drive_link,https://drive.google.com/file/d/1E2EvkatxFzLGOR20iOoOlPz_hSUwh2Ux/view?usp=drive_link,,,,,,,PRA 4058 - Contract 6482 MOU w. ARS.txt,,,,,,,
Test,City of San Marcos,Interfaith Community Services,Rental Assistance,8/24/20,8/23/21,213243,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1cYAH6XvIZMyTqx7uX7pF59Ro_BWSwwAi/view?usp=drive_link,https://drive.google.com/file/d/1Ivrzor3EV03_WCV_ymuvQAQKMABIEn6b/view?usp=drive_link,,,,,,,PRA 4058 - 6455_Interfaith.txt,,,,,,,
Test,City of San Marcos,North County Lifeline,Rental Assistance,8/15/20,8/14/21,213243,,,,,U.S. Department of Housing and Urban Development,CDBG-CV,https://drive.google.com/file/d/1uyOrwp96zLN7S8JBMxfqNmt7LduEvf-n/view?usp=drive_link,https://drive.google.com/file/d/1-NAPnmn2rXj9CMalB-riEHZqZk08Y0oT/view?usp=drive_link,,,,,,,PRA 4058 - 6446_NC Lifeline.txt,,,,,,,
Test,City of San Marcos,211 San Diego,Call Center,8/17/16,6/30/19,17408,,,,,U.S. Department of Housing and Urban Development,CDBG,https://drive.google.com/file/d/1CjkpnxCFthj0yh-l5xJCJbriLHcTWz-W/view?usp=drive_link,https://drive.google.com/file/d/1p2C3ppJyK-Tee0Oe5VGGnJGyJfiL2jW0/view?usp=drive_link,,,,,,,PRA 4058 - 5466_211 SD.txt,,,,,,,
Test,City of San Diego,Jewish Family Services,Expanded Safe Parking,7/1/18,6/30/20,1444875,1,,,,,,https://drive.google.com/file/d/1tmm0iwuoyGnZKupnlnKLs5XrXmAV1GCx/view?usp=drive_link,https://drive.google.com/file/d/1h2n5VQaAtVWNIvypySDfnWgol-Uerf_L/view?usp=drive_link,,,,,,,Executed_First Amendment_ JFS Safe Parking Contract.txt,,,,,,,
Test,City of San Diego,Mental Health Systems,Transitional Storage Center,11/18/19,11/18/20,720664,,,,,,,https://drive.google.com/file/d/1gD4QWJlwqq-vaUr2w-9jWe2fkFm8IJ7g/view?usp=drive_link,https://drive.google.com/file/d/1F042VDyExBTpCkcTzz2V-sIwnFTFhqEz/view?usp=drive_link,,,,,,,Mental Health Systems Transitional Storage Agreement-executed.txt,,,,,,,
Test,City of Encinitas,CRC,Emergency Hotel/Motel Voucher Program,4/20/20,4/30/22,314250,,,,,,,https://drive.google.com/file/d/16GgUE8kR3sNLtS9o941-T0fl8I5wbbqp/view?usp=drive_link,https://drive.google.com/file/d/1lq5TqteHe5ELpVsxm_JydILPdGkAnj_j/view?usp=drive_link,,,,,,,CRC MOU Motel Voucher.txt,,,,,,,
Test,City of Encinitas,Community Resource Center,Opening Doors Program,7/1/18,6/30/22,178968,,,,,,,https://drive.google.com/file/d/18Z2Mdt4WalTnul2lQJi4iQLWJoBbpigU/view?usp=drive_link,https://drive.google.com/file/d/1wbPATY55ngfpC6dw4mDjGSLxv9SpKiIy/view?usp=drive_link,,,,,,,Opening Doors MOU 21-22.txt,,,,,,,
Test,City of Encinitas,Interfaith Community Services,Alliance for Solutions Bridge to Housing Network,7/1/18,6/30/22,252017,,,,,,,https://drive.google.com/file/d/1tC4CCYP2j5IVNn45Lb3YNNmwlY_Nnbb1/view?usp=drive_link,https://drive.google.com/file/d/1tC4CCYP2j5IVNn45Lb3YNNmwlY_Nnbb1/view?usp=drive_link,,,,,,,ICS - Amendment #2 (Executed) 10.11.2021.txt,,,,,,,
Test,City of Encinitas,Community Resource Center,Homeless Prevention and Intervention,7/1/19,6/30/22,290119,,,,,,,https://drive.google.com/file/d/1SfKeZ7SXKjMsfQ-2LvHdbhmGS30ULVbs/view?usp=drive_link,https://drive.google.com/file/d/1yYZdRZ6xdRDK7_PSoTb648fWmYh0S2xm/view?usp=drive_link,,,,,,,CRC Homeless Prevention - FY19-20 Executed Agreement.txt,,,,,,,
Test,City of Encinitas,Catholic Charities,Las Posada de Guadalupe Homeless Shelter,7/1/18,6/30/19,6707,,,,,,,https://drive.google.com/file/d/1TvOTcHq-1EeEHNLTLz0jcTUTrc3RxcGC/view?usp=drive_link,https://drive.google.com/file/d/19x5FX0zHq-Z-4JwhtfVb3susklL1rIZK/view?usp=drive_link,,,,,,,Executed Agreement CDBG CATHOLIC CHARITIES.txt,,,,,,,
Test,City of Encinitas,Community Resource Center,Facility Imporvement,7/1/18,6/30/21,145646,,,,,,,https://drive.google.com/file/d/1O5qOswMGSa92uAgvyocjrnsBSvmPfVko/view?usp=drive_link,https://drive.google.com/file/d/1qZ2nXidFUBw2Dah7TtUr0hhk1IiciC9B/view?usp=drive_link,,,,,,,CRC 2020-21 Facility Improvement (2.22.2021).txt,,,,,,,
Test,City of Encinitas,Community Resource Center,Food and Nutrition,7/1/20,6/30/22,89119,,,,,,,https://drive.google.com/file/d/12E8iNiMD-9i0smi4d17oQRvafWH0i408/view?usp=drive_link,https://drive.google.com/file/d/1-8WTyGTXWVrmQZCsoNESpBxjgy5rvVTA/view?usp=drive_link,,,,,,,CRC - CDBG FY 2021-22 (Executed).txt,,,,,,,
Test,City of Encinitas,Community Resource Center,Motel Voucher,5/20/20,5/31/21,314250,,,,,,,https://drive.google.com/file/d/16GgUE8kR3sNLtS9o941-T0fl8I5wbbqp/view?usp=drive_link,https://drive.google.com/file/d/1lq5TqteHe5ELpVsxm_JydILPdGkAnj_j/view?usp=drive_link,,,,,,,CRC MOU Motel Voucher.txt,,,,,,,
Test,City of Encinitas,McAlister Institute,COVID-19 Homeless Response Full-Time Caseworker,10/22/21,10/22/23,325000,,,,,,,https://drive.google.com/file/d/1Inb1g6zfgnyeB400jQ9B5NSL62cKg5H_/view?usp=drive_link,https://drive.google.com/file/d/1RooSdLnl74MbF8F84rvxXxuATc325Tm4/view?usp=drive_link,,,,,,,McAlister Agreement - Executed (10.22.2021).txt,,,,,,,
,City of Oceanside,,Homeless Outreach Team,7/1/21,6/30/22,478072,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Bridge Housing Transitional Housing,7/1/21,6/30/22,332104,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Contract Sobering Services,7/1/21,6/30/22,373444,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Navigation Center,7/1/21,6/30/22,30937300,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Housing Homeless Assistance Program (HHAP) Housing Navigaiton/ Casem Management,7/1/21,6/30/22,175195,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Motel Program,7/1/21,6/30/22,93452.38,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Motel Program,7/1/21,6/30/22,1099138.33,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,D76 Housing Prevention and Intervention Program,7/1/21,6/30/22,96487.59,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Womens Resource Center Transitional Housing,7/1/21,6/30/22,114050,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Winter Shelter Network,7/1/21,6/30/22,767500,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Tenent Based Rental Assistance Program,7/1/21,6/30/22,93452.38,,,,,,,,,,,,,,,,,,,,,,
,City of Oceanside,,Operation Hope Motel Program,7/1/21,6/30/22,88981.33,,,,,,,,,,,,,,,,,,,,,,
Test,SDHC,Mental Health Systems Inc.,Transitional Storage Center II,7/1/20,6/30/21,"$720,644.00",,,,,,,https://drive.google.com/file/d/1Oj4Z4ci8Wb5JZ_oMChVhz7AS9ghh40iw/view?usp=drive_link,https://drive.google.com/file/d/1y5J-ic0Z_ooWg-e5_R413HVZ5T0anVeU/view?usp=drive_link,,,,,,,HHI-21-04 Agreement - Storage Connect Center II (MHS).txt,,,,,,,
Test,SDHC,Father Joes Village,Operation of City of San Diego Day Center for Homeless Adults,7/1/20,12/31/20,"$250,000.00",,,,,,,https://drive.google.com/file/d/12NXqgwIIIsT2xG9Q5TVPmumy8K2hUvDb/view?usp=drive_link,https://drive.google.com/file/d/1j2CG_824D60a3ZDsXLMt3ZlJGGM6ej9k/view?usp=drive_link,,,,,,,HHI-21-13 Agreement - Day Center (FJV).txt,,,,,,,
,SDHC,PATH,Homelessness Response Center Services,11/1/20,6/30/23,"$1,996,918.07",,,,,,,,,,,,,,,,,,,,,,
Test,SDHC,Father Joes Village,Operation of City of San Diego Day Center for Homeless Adults,1/1/21,6/30/21,"$250,000.00",,,,,,,https://drive.google.com/file/d/1-o7spw2_gcfgM90yhHAgpZeglcXufEVs/view?usp=drive_link,https://drive.google.com/file/d/10eI-nlLMZ4OneCYKMZUR7GDwI66PMY1s/view?usp=drive_link,,,,,,,HHI-21-27 Agreement - Day Center (FJV).txt,,,,,,,
Test,SDHC,Urban Street Angels,TAY Interim Shelter Beds,1/15/21,6/30/21,"$228,858.95",,,,,,,https://drive.google.com/file/d/1upJXMets-vMx6bFteofouIbx6IyStLZa/view?usp=drive_link,https://drive.google.com/file/d/1kclj2FM3mHP1W_6R6Nv7ZZZvxEbMUKWY/view?usp=drive_link,,,,,,,HHI-21-04 Agreement - Storage Connect Center II (MHS).txt,,,,,,,
Test,SDHC,Father Joes Village,Case Management Services,7/1/2020,5/31/21,"$119,454.63",,,,,,,https://drive.google.com/file/d/1WAxxJyxGFwleH7uSzHdZvVNPdaVzdki3/view?usp=drive_link,https://drive.google.com/file/d/151MJaQS24VUJ6VXUReKTn_ynKntmRmRn/view?usp=drive_link,,,,,,,HHI-21-21 Agreement - Case Management (FJV).pdf,,,,,,,
Test,SDHC,San Diego Youth Services,SafeTAY Network Program,1/15/21,6/30/21,"$100,251.66",,,,,,,https://drive.google.com/file/d/19UcFntWWujw8vQ_UE0CcCe4iO4Vn2gtR/view?usp=drive_link,https://drive.google.com/file/d/1d1Kc4S0b7KeGzJ96grdb38BrTSAXfu09/view?usp=drive_link,,,,,,,HHI-21-31 Agreement (SafeTAY Network Program - SDYS).txt,,,,,,,
Test,SDHC,San Diego Youth Services,Youth Emergency Shelter,1/15/21,6/30/21,"$72,489.22",,,,,,,https://drive.google.com/file/d/1k06Ay8HYJKmSnBPNEKzExFmD7H9rIMdg/view?usp=drive_link,https://drive.google.com/file/d/1p-zC6mWiBkNJW3Zr3mcOEvsXLIMEIIV_/view?usp=drive_link,,,,,,,HHI-21-32 Agreement (Youth Emergency Shelter - SDYS).txt,,,,,,,
Test,SDHC,San Diego LGBT Community Center,SafeTAY Network Program,1/15/21,6/30/21,"$65,019.77",,,,,,,https://drive.google.com/file/d/1uT4Y0ewwDBVS5LkLpcWyE96r1AR0bzVk/view?usp=drive_link,https://drive.google.com/file/d/1HS79AZohe7MvxnFHx3ulz7X8UxOJ9crx/view?usp=drive_link,,,,,,,HHI-21-33 Agreement (SafeTAY Network Program - The Center).txt,,,,,,,
Test,SDHC,Ubran Street Angles,SafeTAY Network Program,1/15/21,6/30/21,"$76,623.93",,,,,,,https://drive.google.com/file/d/10HLVrrGk-qJ2mu7ag43dKdw628okqmlH/view?usp=drive_link,https://drive.google.com/file/d/1oxytWM0kWr_ZjIksIdrbiQ3GsmPpsV7F/view?usp=drive_link,,,,,,,HHI-21-34 Agreement (SafeTAY Network Program - USA).txt,,,,,,,
https://drive.google.com/file/d/1odWdJdMJlXu698NoMtfCXKMiS39hhSVH/view?usp=drive_link,City of Oceanside,Women's Resource Center,Supportive Housing Program,2/1/15,1/31/16,138206,,,,,,,https://drive.google.com/file/d/1uUQRAegjQYG-93PpO8UOq8G6_6CDd0DR/view?usp=drive_link,,,,,,,,,,,,,,,
https://drive.google.com/file/d/1HahyRvV6wjMVz2WBO8xqAtsF1q7bBw6P/view?usp=drive_link,City of Oceanside,Women's Resource Center,Supportive Housing Program,2/2/20,1/31/21,138206,,,,,,,,,,,,,,,,,,,,,,
https://drive.google.com/file/d/1uUQRAegjQYG-93PpO8UOq8G6_6CDd0DR/view?usp=drive_link,City of Oceanside,Department of Housing and Urban Development,Homeless Emergency Assistance and Rapid Transition to Housing,2/1/15,1/31/16,145091,,,,,,,,,,,,,,,,,,,,,,
https://drive.google.com/file/d/1-EGia3ZA6YcoOe9ijC9ixlBF-aAfbOGD/view?usp=drive_link,City of Oceanside,Interfaith Community Services,Housing Social Worker- Homelessness,5/15/18,,76272.5,,,,,,,,,,,,,,,,,,,,,,
https://drive.google.com/file/d/1dGUkjC4FUW-_hhch1JuTyFTdMi8ZDrFS/view?usp=drive_link,City of Oceanside,Interfaith Community Services,Bridge Housing and Case Management,10/1/19,,237974,,,,,,,,,,,,,,,,,,,,,,
https://drive.google.com/file/d/1omiWHyN9LYdteb4IySkcqPQuVPX1BG6w/view?usp=drive_link,City of Oceanside,Community Resource Center,Homelessness Prevention and Intervention,5/1/20,4/31/21,237500,,,,,,,,,,,,,,,,,,,,,,
