EIN_YEAR,ba,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
952693142_2015.0,SOUTH BAY COMMUNITY SERVICES,952693142,2015.0,91910,0,0,0,0,23412360,546969,278454,23959329
952693142_2014.0,SOUTH BAY COMMUNITY SERVICES,952693142,2014.0,91910,0,0,0,0,23927898,491641,189443,24419539
952693142_2013.0,SOUTH BAY COMMUNITY SERVICES,952693142,2013.0,0,0,0,149889,0,21811905,1018122,169822,22979916
261712580_2022.0,EQUALITY ALLIANCE OF SAN DIEGO,261712580,2022.0,92112,0,0,0,0,0,7171594,0,7171594
261712580_2021.0,EQUALITY ALLIANCE OF SAN DIEGO,261712580,2021.0,92112,0,0,72165,0,0,4616925,0,4689090
261712580_2020.0,Equality Alliance of San Diego County,261712580,2020.0,92112,0,5050,0,0,242800,4179440,0,4427290
261712580_2019.0,Equality Alliance of San Diego County,261712580,2019.0,92112,0,9365,0,0,0,1800844,0,1810209
261712580_2018.0,Equality Alliance of San Diego County,261712580,2018.0,92112,0,9375,0,0,0,2631980,0,2641355
261712580_2017.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2017.0,92112,0,0,0,0,0,1624468,0,1624468
261712580_2016.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2016.0,92112,0,0,0,0,0,2424704,0,2424704
261712580_2015.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2015.0,92112,0,0,0,0,0,1236342,0,1236342
261712580_2014.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2014.0,92112,0,0,0,0,0,1558845,0,1558845
261712580_2013.0,EQUALITY ALLIANCE OF SAN DIEGO COUNTY,261712580,2013.0,0,0,4050,0,0,0,1294766,0,1298816
953368020_2021.0,KIKU GARDENS INC,953368020,2021.0,91911,0,0,0,0,0,1600,0,1600
953368020_2020.0,Kiku Gardens Inc,953368020,2020.0,91911,0,0,0,0,0,500,0,500
953368020_2019.0,Kiku Gardens Inc,953368020,2019.0,91911,0,0,0,0,0,1375,0,1375
953368020_2018.0,Kiku Gardens Inc,953368020,2018.0,91911,0,0,0,0,0,4500,0,4500
953368020_2017.0,Kiku Gardens Inc,953368020,2017.0,91911,0,0,0,0,0,1301200,0,1301200
953368020_2016.0,Kiku Gardens Inc,953368020,2016.0,91911,0,0,0,0,0,0,0,0
953368020_2015.0,Kiku Gardens Inc,953368020,2015.0,91911,0,0,0,0,0,160,0,1285
953368020_2014.0,KIKU GARDENS INC,953368020,2014.0,91911,0,0,0,0,0,0,0,0
330317950_2021.0,COMMUNITY HOUSING WORKS,330317950,2021.0,92108,0,0,0,1275925,2407658,1487867,0,5171450
330317950_2020.0,COMMUNITY HOUSING WORKS,330317950,2020.0,92108,0,0,0,3252996,1628956,1364328,0,6246280
330317950_2019.0,COMMUNITY HOUSING WORKS,330317950,2019.0,92108,0,0,0,2915400,1426417,944973,0,5286790
330317950_2018.0,COMMUNITY HOUSING WORKS,330317950,2018.0,92108,0,0,0,0,5739760,988317,0,6728077
330317950_2017.0,COMMUNITY HOUSING WORKS,330317950,2017.0,92108,0,0,201036,0,847813,557296,0,1606145
330317950_2016.0,COMMUNITY HOUSING WORKS,330317950,2016.0,92108,0,0,178333,0,910318,501953,0,1590604
330317950_2015.0,COMMUNITY HOUSING WORKS,330317950,2015.0,92108,0,0,0,0,2257896,1355637,0,3613533
330317950_2014.0,COMMUNITY HOUSING WORKS,330317950,2014.0,92108,0,0,0,0,0,2127522,0,2127522
330317950_2013.0,COMMUNITY HOUSING WORKS,330317950,2013.0,0,0,0,0,0,0,3077285,0,3077285
330008269_2021.0,"ADJOIN
FORMERLY COMMUNITY CATALYSTS OF CA",330008269,2021.0,92123,0,0,0,0,11022640,15265,0,11037905
330008269_2020.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2020.0,92111,0,0,0,0,7508861,136902,0,7645763
330008269_2019.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2019.0,92111,0,0,0,0,4315826,18835,0,4334661
330008269_2018.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2018.0,92111,0,0,0,0,4486116,15457,0,4501573
330008269_2017.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2017.0,92111,0,0,0,0,4079963,13450,0,4093413
330008269_2016.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2016.0,92111,0,0,0,0,4117430,14732,0,4132162
330008269_2015.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2015.0,92111,0,0,0,0,2577779,15146,0,2592925
330008269_2014.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2014.0,92111,0,0,0,0,2111479,23405,0,2134884
330008269_2013.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2013.0,0,0,0,0,0,1057513,29269,0,1086782
952794253_2021.0,"North County Lifeline Inc
dba Lifeline Community Services",952794253,2021.0,92084,0,0,0,0,13405575,451714,223226,13857289
952794253_2020.0,"North County Lifeline Inc
dba Lifeline Community Services",952794253,2020.0,92056,0,0,0,0,13098737,679469,189639,13778206
952794253_2019.0,North County Lifeline Inc,952794253,2019.0,92056,0,0,0,0,12446965,392396,251569,12839361
952794253_2018.0,North County Lifeline Inc,952794253,2018.0,92056,0,0,0,0,10496439,353245,235480,10849684
952794253_2017.0,North County Lifeline Inc,952794253,2017.0,92056,0,0,0,0,9738384,287018,207107,10025402
952794253_2016.0,North County Lifeline Inc,952794253,2016.0,92056,0,0,0,0,7910489,269310,107107,8179799
952794253_2015.0,North County Lifeline Inc,952794253,2015.0,92056,0,0,0,0,7008292,156226,71467,7164518
952794253_2014.0,North County Lifeline Inc,952794253,2014.0,92056,0,0,0,0,6666125,112730,70794,6778855
821946283_2021.0,SDHC BUILDING OPPORTUNITIES INC,821946283,2021.0,92101,0,0,0,0,0,353094,0,353094
821946283_2020.0,SDHC BUILDING OPPORTUNITIES INC,821946283,2020.0,92101,0,0,0,0,0,116000,0,116000
821946283_2019.0,SDHC BUILDING OPPORTUNITIES INC,821946283,2019.0,92101,0,0,0,0,0,366114,0,366114
272917644_2021.0,Karen Organization of San Diego,272917644,2021.0,92105,0,0,0,0,298246,670453,0,968699
272917644_2020.0,Karen Organization of San Diego,272917644,2020.0,92105,0,0,0,0,123825,384902,0,508727
272917644_2019.0,Karen Organization of San Diego,272917644,2019.0,92105,0,0,0,0,0,169503,0,169503
272917644_2018.0,Karen Organization of San Diego,272917644,2018.0,92105,0,0,0,0,0,188071,0,188071
272917644_2017.0,Karen Organization of San Diego,272917644,2017.0,92105,0,0,0,0,0,132638,0,135526
272917644_2016.0,Karen Organization of San Diego,272917644,2016.0,92105,0,0,0,0,0,139470,0,139470
272917644_2015.0,Karen Organization of San Diego,272917644,2015.0,92105,0,0,0,0,0,103388,0,103388
953315571_2021.0,CASA DE AMPARO,953315571,2021.0,92069,0,0,583861,0,7481645,2820702,242271,10886208
953315571_2020.0,CASA DE AMPARO,953315571,2020.0,92069,0,0,330639,0,8632004,4259264,541051,13221907
953315571_2019.0,CASA DE AMPARO,953315571,2019.0,92069,0,0,128260,0,8253706,1511144,229425,9893110
953315571_2018.0,CASA DE AMPARO,953315571,2018.0,92069,0,0,119380,0,402566,1441065,319577,1963011
953315571_2017.0,CASA DE AMPARO,953315571,2017.0,92069,1924,0,14888,0,5669765,1737039,408738,7423616
953315571_2016.0,CASA DE AMPARO,953315571,2016.0,92069,11487,0,225830,0,222038,3348922,486662,3808277
953315571_2015.0,CASA DE AMPARO,953315571,2015.0,92069,14662,0,337599,0,191203,2208953,424543,2752417
953315571_2014.0,CASA DE AMPARO,953315571,2014.0,92069,21271,0,406648,0,0,1819359,526420,2247278
953315571_2013.0,CASA DE AMPARO,953315571,2013.0,0,19803,0,352886,0,0,1568835,376849,1941524
953244085_2021.0,NEW ALTERNATIVES INC,953244085,2021.0,92163,0,0,0,0,0,205330,0,205330
953244085_2020.0,NEW ALTERNATIVES INC,953244085,2020.0,92163,0,0,0,0,0,138850,0,138850
953244085_2019.0,NEW ALTERNATIVESINC,953244085,2019.0,92163,0,0,0,0,0,291658,0,291658
953244085_2018.0,NEW ALTERNATIVESINC,953244085,2018.0,92163,0,0,0,0,0,390047,0,390047
953244085_2017.0,NEW ALTERNATIVESINC,953244085,2017.0,92163,0,0,0,0,29308,741356,0,770664
953244085_2016.0,NEW ALTERNATIVESINC,953244085,2016.0,92163,0,0,0,0,0,274792,0,274792
953244085_2015.0,NEW ALTERNATIVESINC,953244085,2015.0,92163,0,0,0,0,0,467092,0,467092
953244085_2014.0,NEW ALTERNATIVESINC,953244085,2014.0,92163,0,0,0,0,0,347574,22000,347574
953244085_2013.0,NEW ALTERNATIVESINC,953244085,2013.0,0,0,0,0,0,0,414625,0,414625
330618893_2018.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2018.0,92127,0,0,0,0,59823,0,0,59823
330618893_2017.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2017.0,92127,0,0,0,0,59524,0,0,59524
330618893_2016.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2016.0,92127,0,0,0,0,58030,0,0,58030
330618893_2015.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2015.0,92127,0,0,0,0,56783,0,0,56783
330618893_2014.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2014.0,92127,0,0,0,0,55753,0,0,55753
330492304_2021.0,SVDP Management Inc,330492304,2021.0,921023332,0,0,0,0,1563590,6337890,5901007,7901480
330492304_2020.0,SVDP MANAGEMENT INC,330492304,2020.0,921023332,0,0,0,0,4472823,5016886,4787018,9489709
330492304_2019.0,SVDP MANAGEMENT INC,330492304,2019.0,921023332,0,0,0,0,578517,15544341,5811788,16122858
330492304_2018.0,SVDP MANAGEMENT INC,330492304,2018.0,921023332,0,0,0,0,102020,2137155,2067214,2239175
330492304_2017.0,SVDP MANAGEMENT INC,330492304,2017.0,921023332,0,0,0,0,279676,6295355,5923230,6575031
330492304_2016.0,SVDP Management Inc,330492304,2016.0,921023332,0,0,0,0,242055,2887758,2649029,3129813
330492304_2015.0,SVDP MANAGEMENT INC,330492304,2015.0,921023332,0,0,0,0,560794,2189344,2070609,2750138
330492304_2014.0,SVDP MANAGEMENT INC,330492304,2014.0,921023332,0,0,0,0,53414,4343339,3008521,4396753
330492304_2013.0,SVDP MANAGEMENT INC,330492304,2013.0,0,0,0,0,0,31775,3870896,3306989,3902671
952653869_2021.0,CRASH INC,952653869,2021.0,92108,0,0,0,0,4752251,13877,0,4766128
952653869_2020.0,CRASH INC,952653869,2020.0,92108,0,0,0,0,0,12102,0,12102
952653869_2019.0,CRASH Inc,952653869,2019.0,92108,0,0,0,0,0,10140,0,10140
952653869_2018.0,CRASH Inc,952653869,2018.0,92108,0,0,0,0,0,19567,0,19567
952653869_2017.0,CRASH Inc,952653869,2017.0,92108,0,0,0,0,0,5869,0,5869
952653869_2016.0,CRASH Inc,952653869,2016.0,92108,0,0,0,0,0,10393,0,10393
952653869_2015.0,CRASH Inc,952653869,2015.0,92108,0,0,0,0,0,12407,0,12407
952653869_2014.0,CRASH Inc,952653869,2014.0,92108,0,0,0,0,0,2979,0,2979
952653869_2013.0,CRASH Inc,952653869,2013.0,0,0,0,0,0,0,12130,0,12130
952039198_2021.0,YMCA OF SAN DIEGO COUNTY,952039198,2021.0,92123,0,0,111000,162000,122845000,8442000,517000,131560000
952039198_2020.0,YMCA OF SAN DIEGO COUNTY,952039198,2020.0,92123,0,0,461000,0,131804000,37728000,2305000,169532000
952039198_2019.0,YMCA OF SAN DIEGO COUNTY,952039198,2019.0,92123,0,0,0,0,103823000,20816000,0,124639000
952039198_2018.0,YMCA OF SAN DIEGO COUNTY,952039198,2018.0,92123,0,0,0,0,92115000,11971000,440000,104086000
952039198_2017.0,YMCA OF SAN DIEGO COUNTY,952039198,2017.0,92123,0,0,0,0,79369000,15066000,0,94435000
952039198_2016.0,YMCA OF SAN DIEGO COUNTY,952039198,2016.0,92123,0,0,0,0,66857000,16797000,1985000,83654000
952039198_2015.0,YMCA OF SAN DIEGO COUNTY,952039198,2015.0,92123,0,0,0,0,59368000,15803000,0,75171000
952039198_2014.0,YMCA OF SAN DIEGO COUNTY,952039198,2014.0,92123,0,0,0,0,52614000,12983000,731000,65597000
952039198_2013.0,YMCA OF SAN DIEGO COUNTY,952039198,2013.0,0,0,0,0,0,45948000,0,7030000,68593000
953837714_2021.0,Interfaith Community Services Inc,953837714,2021.0,92025,0,0,0,0,1841932,7012518,686697,8854450
953837714_2020.0,Interfaith Community Services Inc,953837714,2020.0,92025,0,0,0,0,0,8230080,609510,8230080
953837714_2019.0,Interfaith Community Services Inc,953837714,2019.0,92025,371,0,0,0,0,7188385,840491,7188756
953837714_2018.0,Interfaith Community Services Inc,953837714,2018.0,92025,7874,0,0,0,0,4659335,931132,4667209
953837714_2017.0,Interfaith Community Services Inc,953837714,2017.0,92025,2794,0,0,0,0,6715132,859409,6717926
953837714_2016.0,Interfaith Community Services Inc,953837714,2016.0,92025,2721,0,0,0,0,8376642,790662,8379363
953837714_2015.0,Interfaith Community Services Inc,953837714,2015.0,92025,2401,0,0,0,0,4366929,635553,4369330
953837714_2014.0,Interfaith Community Services Inc,953837714,2014.0,92025,3029,0,0,0,0,4472449,665579,4475478
953837714_2013.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2013.0,0,6806,0,0,0,0,3613283,887487,3620089
113723093_2020.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2020.0,92123,0,0,0,0,17841834,183535,0,18025369
113723093_2019.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2019.0,92123,0,0,0,0,9344677,182239,0,9526916
113723093_2018.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2018.0,92123,0,0,0,0,2505451,865020,0,3370471
113723093_2017.0,REGIONAL TASK FORCE ON THE HOMELESS,113723093,2017.0,92123,0,0,0,0,2021667,738875,0,2760542
113723093_2016.0,Regional Task Force on the Homeless,113723093,2016.0,92123,0,6677,0,0,1922156,65214,0,1994047
113723093_2015.0,Regional Task Force on the Homeless,113723093,2015.0,92123,0,0,0,0,1110060,47330,0,1157390
113723093_2014.0,Regional Task Force on the Homeless Inc,113723093,2014.0,92123,0,0,0,0,991765,94796,0,1086561
330602842_2021.0,The Association for Community Housing Solutions,330602842,2021.0,92123,0,0,0,0,1659718,27280,0,1686998
330602842_2020.0,TACHS,330602842,2020.0,92123,0,0,0,0,1598008,25316,0,1623324
951944230_2020.0,VISTA HILL FOUNDATION,951944230,2020.0,92123,0,0,0,421222,0,0,0,421222
951944230_2019.0,VISTA HILL FOUNDATION,951944230,2019.0,92123,0,0,0,829467,0,0,0,829467
951944230_2018.0,VISTA HILL FOUNDATION,951944230,2018.0,92123,0,0,0,519227,0,50000,0,569227
951944230_2017.0,VISTA HILL FOUNDATION,951944230,2017.0,92123,0,0,0,1143385,0,0,0,1143385
951944230_2016.0,VISTA HILL FOUNDATION,951944230,2016.0,92123,0,0,0,1144538,0,25000,0,1169538
951944230_2015.0,VISTA HILL FOUNDATION,951944230,2015.0,92123,0,0,0,1081289,0,0,0,1081289
951944230_2014.0,VISTA HILL FOUNDATION,951944230,2014.0,92123,0,0,0,1164736,0,0,0,1164736
951944230_2013.0,VISTA HILL FOUNDATION,951944230,2013.0,0,0,0,0,833367,0,0,0,833367
465055513_2021.0,URBAN STREET ANGELS INC,465055513,2021.0,92101,0,0,0,0,3099056,482512,0,3581568
465055513_2020.0,URBAN STREET ANGELS INC,465055513,2020.0,92101,0,0,0,0,2397198,225223,0,2622421
465055513_2019.0,URBAN STREET ANGELS INC,465055513,2019.0,92101,0,0,0,0,1597401,414072,0,2011473
465055513_2018.0,URBAN STREET ANGELS INC,465055513,2018.0,92101,0,0,24381,0,713895,112174,0,850450
330433314_2021.0,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2021.0,92101,0,0,521275,0,598626,970523,142849,2090424
330433314_2020.0,NATIONAL CONFLICT RESOLUTION CENTER,330433314,2020.0,92101,0,0,1200,0,462250,2067172,15150,2530622
330433314_2019.0,National Conflict Resolution Center,330433314,2019.0,92101,0,0,0,0,1178817,986074,0,2164891
951869806_2021.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2021.0,92114,1540,0,0,0,20005029,372324,6675,20378893
951869806_2020.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2020.0,92114,2330,0,0,0,16520044,2875583,0,19397957
951869806_2019.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2019.0,92114,1859,0,0,0,14166199,2669644,0,16837702
951869806_2018.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2018.0,92114,3151,0,0,0,13243289,3568421,0,16814861
951869806_2017.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2017.0,92114,3609,0,15000,0,12367467,3883995,0,16270071
951869806_2016.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2016.0,92114,1677,0,10000,0,12558042,4108352,19250,16678071
951869806_2015.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2015.0,92114,2336,0,0,0,13495410,5125303,9234,18623049
951869806_2014.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2014.0,92114,3514,0,0,0,12988512,3613017,0,16605043
951869806_2013.0,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2013.0,0,4012,0,0,0,10148597,3759271,0,13911880
953649525_2020.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2020.0,92110,0,0,0,0,17344646,919709,140090,18264355
953649525_2019.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2019.0,92110,0,0,108285,0,14550486,2660409,90700,17319180
953649525_2018.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2018.0,92110,0,0,0,0,12226507,1663160,68633,13889667
953649525_2017.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2017.0,92110,0,0,0,0,10390777,2934365,37484,13325142
953649525_2016.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2016.0,921102030,0,0,0,0,8454663,1317986,466769,9772649
953649525_2015.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2015.0,921102030,0,0,0,0,8368757,1746395,1086348,10115152
953649525_2014.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2014.0,921102030,0,0,0,0,8258604,1206648,145562,9465252
953649525_2013.0,"VIETNAM VETERANS OF SAN DIEGO
DBA VETERANS VILLAGE OF SAN DIEGO",953649525,2013.0,0,0,0,0,0,8169126,1974080,124165,10143206
952422704_2021.0,ACCESS INC,952422704,2021.0,92111,0,0,0,0,2333269,400608,0,2733877
952422704_2020.0,ACCESS INC,952422704,2020.0,92111,0,0,0,0,2479269,346767,0,2826036
952422704_2019.0,Access,952422704,2019.0,92111,0,0,0,0,3237974,54220,0,3292194
952422704_2018.0,Access Inc,952422704,2018.0,92111,0,0,0,0,3128388,155665,0,3284053
952422704_2017.0,Access Inc,952422704,2017.0,92111,0,0,0,0,2983795,229551,0,3213346
952422704_2016.0,Access Inc,952422704,2016.0,92111,0,0,0,0,3075472,205477,0,3280949
952422704_2015.0,Access Inc,952422704,2015.0,92111,0,0,0,0,2146844,142987,0,2289831
952422704_2014.0,Access Inc,952422704,2014.0,92111,0,0,0,0,1945811,158587,0,2104398
952422704_2013.0,Access Inc,952422704,2013.0,0,0,0,0,0,1846857,11901,0,1858758
270447059_2021.0,DREAMS FOR CHANGE INC,270447059,2021.0,92176,0,0,0,0,845519,229074,0,1074593
270447059_2020.0,DREAMS FOR CHANGE INC,270447059,2020.0,92176,0,0,0,0,717584,434903,0,1152487
270447059_2019.0,Dreams for Change,270447059,2019.0,92176,0,0,0,0,600504,421536,0,1022040
270447059_2018.0,Dreams for Change,270447059,2018.0,92176,0,0,0,0,345041,492397,0,837438
270447059_2017.0,Dreams for Change,270447059,2017.0,92176,0,0,0,0,13723,589875,0,603598
270447059_2016.0,Dreams for Change,270447059,2016.0,92176,0,0,0,0,0,367905,0,367905
270447059_2015.0,Dreams for Change,270447059,2015.0,92176,0,0,0,0,0,363988,0,363988
270447059_2014.0,Dreams for Change,270447059,2014.0,92176,0,0,0,0,0,206298,0,206298
270447059_2013.0,Dreams for Change,270447059,2013.0,0,0,0,0,0,23051,82706,0,105757
263405689_2021.0,GENERATEHOPE INC,263405689,2021.0,92108,0,0,159532,0,321341,2444340,61751,2925213
263405689_2020.0,GENERATEHOPE INC,263405689,2020.0,92108,0,0,133830,0,60934,1162044,76861,1356808
263405689_2019.0,GENERATEHOPE INC,263405689,2019.0,92108,0,0,190000,0,61264,871044,53273,1122308
263405689_2018.0,GENERATEHOPE INC,263405689,2018.0,92108,0,0,204598,0,65995,1195492,317578,1466085
263405689_2017.0,GENERATEHOPE INC,263405689,2017.0,92108,0,0,139870,0,83947,705417,149318,929234
263405689_2016.0,GENERATEHOPE INC,263405689,2016.0,92108,0,0,0,0,52000,971973,736500,1023973
263405689_2015.0,GENERATEHOPE INC,263405689,2015.0,92108,0,0,0,0,153154,559739,0,725208
263405689_2014.0,GENERATEHOPE INC,263405689,2014.0,92108,0,0,0,0,100000,227478,0,327478
263405689_2013.0,GENERATEHOPE INC,263405689,2013.0,0,0,0,0,0,100000,179228,0,279228
331146733_2022.0,THINK DIGNITY,331146733,2022.0,92104,0,0,63722,0,213571,256658,19922,533951
331146733_2021.0,THINK DIGNITY,331146733,2021.0,92104,0,0,45695,0,189346,273056,63404,508097
331146733_2020.0,THINK DIGNITY,331146733,2020.0,92104,0,0,0,0,217312,305452,37406,522764
331146733_2019.0,THINK DIGNITY,331146733,2019.0,92104,0,0,48628,0,129001,125440,43807,303069
331146733_2018.0,THINK DIGNITY,331146733,2018.0,92104,0,0,33682,0,114747,324226,25426,472655
331146733_2017.0,THINK DIGNITY,331146733,2017.0,92104,0,4925,11158,0,106172,255771,0,381968
331146733_2016.0,Think Dignity,331146733,2016.0,92104,0,3445,20231,0,121084,114551,11272,259311
331146733_2014.0,Girls Think Tank,331146733,2014.0,92101,0,8885,0,0,0,94368,0,103253
953140767_2021.0,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2021.0,920201651,0,0,0,0,32228251,0,0,32228251
953140767_2020.0,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2020.0,920201651,0,0,0,0,33156996,0,0,33156996
953140767_2019.0,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2019.0,920201651,0,0,0,0,26829832,0,0,26829832
953140767_2018.0,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2018.0,920201651,0,0,0,0,20728534,0,0,20728534
953140767_2017.0,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2017.0,920201651,0,0,0,0,15375695,0,0,15375695
953140767_2016.0,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2016.0,920201651,0,0,0,0,11827666,0,0,11827666
953140767_2015.0,"MCALISTER INSTITUTE FOR TREATMENT &
EDUCATION INC",953140767,2015.0,920201651,0,0,0,0,9361362,0,0,9361362
953140767_2014.0,MCALISTER INSTITUTE FOR TREATMENT & EDUCATION INC,953140767,2014.0,920201651,0,0,0,0,8713650,0,0,8713650
953140767_2013.0,MCALISTER INSTITUTE FOR TREATMENT & EDUCATION INC,953140767,2013.0,0,0,0,0,0,0,8109852,0,8109852
953138268_2021.0,HOME START INC,953138268,2021.0,92108,0,0,96200,0,9547671,2417336,49427,12061207
953138268_2020.0,HOME START INC,953138268,2020.0,92108,0,0,148040,0,9010990,1979791,53907,11138821
953138268_2019.0,HOME START INC,953138268,2019.0,92108,0,0,116759,0,6289693,1628594,110061,8035046
953138268_2018.0,HOME START INC,953138268,2018.0,92108,0,0,157560,0,4585241,734168,91413,5476969
953138268_2017.0,HOME START INC,953138268,2017.0,92108,0,0,128764,0,4647050,915600,470035,5691414
953138268_2016.0,HOME START INC,953138268,2016.0,92108,0,0,124963,0,4427963,1709373,529998,6262299
953138268_2015.0,HOME START INC,953138268,2015.0,92108,0,0,60824,0,4395128,2181271,650718,6637223
953138268_2014.0,HOME START INC,953138268,2014.0,92108,0,0,0,0,3856122,2530596,504545,6386718
953497926_2021.0,COMMUNITY RESOURCE CENTER,953497926,2021.0,92024,0,0,114007,0,3001809,1691815,1049099,4807631
953497926_2020.0,COMMUNITY RESOURCE CENTER,953497926,2020.0,92024,0,0,77637,0,3252755,4043651,1035391,7374043
953497926_2019.0,COMMUNITY RESOURCE CENTER,953497926,2019.0,92024,0,0,301149,0,2338255,2490058,627749,5129462
953497926_2018.0,COMMUNITY RESOURCE CENTER,953497926,2018.0,92024,347,0,68811,0,1526759,1422107,614244,3018024
953497926_2017.0,COMMUNITY RESOURCE CENTER,953497926,2017.0,92024,158,0,73475,0,1305024,1827504,548988,3206161
953497926_2016.0,COMMUNITY RESOURCE CENTER,953497926,2016.0,92024,1043,0,0,0,1074638,1221054,43662,2301695
953497926_2015.0,Community Resource Center,953497926,2015.0,92024,2081,0,178433,0,877544,1118465,37633,2176523
953497926_2014.0,COMMUNITY RESOURCE CENTER,953497926,2014.0,92024,4086,0,151650,0,112385,1775827,2977,2043948
953497926_2013.0,COMMUNITY RESOURCE CENTER,953497926,2013.0,0,5786,0,58671,0,1215256,1231633,13786,2511346
952157559_2021.0,PATHFINDERS OF SAN DIEGO,952157559,2021.0,92104,0,0,0,0,1752444,86334,0,1838778
952157559_2020.0,PATHFINDERS OF SAN DIEGO,952157559,2020.0,92104,0,0,0,0,1582762,49186,0,1631948
952157559_2019.0,PATHFINDERS OF SAN DIEGO,952157559,2019.0,92104,0,0,0,0,1191318,5658,0,1196976
952157559_2018.0,PATHFINDERS OF SAN DIEGO,952157559,2018.0,92104,0,0,0,0,1174540,88694,0,1263234
952157559_2017.0,PATHFINDERS OF SAN DIEGO,952157559,2017.0,92104,0,0,0,0,544103,44220,0,588323
952157559_2016.0,PATHFINDERS OF SAN DIEGO,952157559,2016.0,92104,0,0,0,0,460914,165917,0,626831
952157559_2015.0,PATHFINDERS OF SAN DIEGO,952157559,2015.0,92104,0,0,0,0,484499,37895,0,522394
952157559_2014.0,PATHFINDERS OF SAN DIEGO,952157559,2014.0,92104,0,0,0,0,482738,52975,0,535713
330006089_2021.0,Deaf Community Services of San Diego Inc,330006089,2021.0,92108,1801,0,0,0,1870912,70092,0,1942805
330006089_2020.0,Deaf Community Services of San Diego Inc,330006089,2020.0,92108,1980,0,0,0,1942352,134573,0,2078905
330006089_2019.0,Deaf Community Services of San Diego Inc,330006089,2019.0,92108,2787,0,0,0,2656426,144693,0,2803906
330006089_2018.0,Deaf Community Services of San Diego Inc,330006089,2018.0,92108,3178,0,34205,0,2111657,165828,0,2314868
330006089_2017.0,Deaf Community Services of San Diego Inc,330006089,2017.0,92108,2240,0,0,0,1438267,124495,0,1565002
330217339_2021.0,CRISIS HOUSE,330217339,2021.0,92071,0,0,0,0,2812646,0,74537,2812646
330217339_2020.0,CRISIS HOUSE,330217339,2020.0,92071,0,0,0,0,1923024,491981,49511,2415005
330217339_2019.0,Crisis House,330217339,2019.0,92020,0,0,0,0,1933389,437262,74525,2370651
330217339_2018.0,Crisis House,330217339,2018.0,92020,0,0,10770,0,1424698,512193,118107,1947661
