,EIN_YEAR,Organization Name,EIN,Tax Year,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total,Philanthropic_Total
249,953649525_2015.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2015.0,921102030,0,0,0,0,8368757,1746395,1086348,10115152,1746395
250,953649525_2014.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2014.0,921102030,0,0,0,0,8258604,1206648,145562,9465252,1206648
251,953649525_2013.0,VIETNAM VETERANS OF SAN DIEGO DBA VETERANS VILLAGE OF SAN DIEGO,953649525,2013.0,0,0,0,0,0,8169126,1974080,124165,10143206,1974080
252,956379598_2021.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2021.0,92109,0,0,463831,0,5516946,850877,16256,6831654,1314708
253,956379598_2020.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2020.0,92109,0,0,493759,0,4983768,1295828,21422,6773355,1789587
254,956379598_2019.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2019.0,92109,0,0,169778,0,4963840,943753,50456,6077371,1113531
255,956379598_2018.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2018.0,92109,0,0,431150,0,4702859,731655,33999,5865664,1162805
256,956379598_2017.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2017.0,92109,0,0,286098,0,4101800,719296,35080,5107194,1005394
257,956379598_2016.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2016.0,92109,0,0,180995,0,3654739,747187,91441,4582921,928182
258,956379598_2015.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2015.0,92109,0,0,238746,0,3215028,596261,29180,4050035,835007
259,956379598_2014.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2014.0,92109,0,0,222496,0,3027355,693548,18123,3943399,916044
260,956379598_2013.0,CENTER FOR COMMUNITY SOLUTIONS,956379598,2013.0,0,0,0,314055,0,2686916,1234390,172083,4235361,1548445
270,953837714_2021.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2021.0,92025,0,0,0,0,1841932,7012518,686697,8854450,7012518
271,953837714_2020.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2020.0,92025,0,0,0,0,0,8230080,609510,8230080,8230080
272,953837714_2019.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2019.0,92025,371,0,0,0,0,7188385,840491,7188756,7188756
273,953837714_2018.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2018.0,92025,7874,0,0,0,0,4659335,931132,4667209,4667209
274,953837714_2017.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2017.0,92025,2794,0,0,0,0,6715132,859409,6717926,6717926
275,953837714_2016.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2016.0,92025,2721,0,0,0,0,8376642,790662,8379363,8379363
276,953837714_2015.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2015.0,92025,2401,0,0,0,0,4366929,635553,4369330,4369330
277,953837714_2014.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2014.0,92025,3029,0,0,0,0,4472449,665579,4475478,4475478
278,953837714_2013.0,INTERFAITH COMMUNITY SERVICES INC,953837714,2013.0,0,6806,0,0,0,0,3613283,887487,3620089,3620089
279,953140767_2021.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2021.0,920201651,0,0,0,0,32228251,0,0,32228251,0
280,953140767_2020.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2020.0,920201651,0,0,0,0,33156996,0,0,33156996,0
281,953140767_2019.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2019.0,920201651,0,0,0,0,26829832,0,0,26829832,0
282,953140767_2018.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2018.0,920201651,0,0,0,0,20728534,0,0,20728534,0
283,953140767_2017.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2017.0,920201651,0,0,0,0,15375695,0,0,15375695,0
284,953140767_2016.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2016.0,920201651,0,0,0,0,11827666,0,0,11827666,0
285,953140767_2015.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2015.0,920201651,0,0,0,0,9361362,0,0,9361362,0
286,953140767_2014.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2014.0,920201651,0,0,0,0,8713650,0,0,8713650,0
287,953140767_2013.0,MCALISTER INSTITUTE FOR TREATMENT  EDUCATION INC,953140767,2013.0,0,0,0,0,0,0,8109852,0,8109852,8109852
288,951648184_2021.0,NEIGHBORHOOD HOUSE ASSN,951648184,2021.0,92111,322,0,248049,0,103160048,624484,0,104032903,872855
289,951648184_2020.0,NEIGHBORHOOD HOUSE ASSN,951648184,2020.0,92111,753,0,210773,0,94379296,718898,0,95309720,930424
290,951648184_2019.0,NEIGHBORHOOD HOUSE ASSN,951648184,2019.0,92111,819,0,88990,0,97559202,598531,0,98247542,688340
291,951648184_2018.0,NEIGHBORHOOD HOUSE ASSN,951648184,2018.0,92111,882,0,197990,0,95320956,638996,74436,96158824,837868
292,951648184_2017.0,NEIGHBORHOOD HOUSE ASSN,951648184,2017.0,92111,2433,0,90000,0,92792453,640431,65505,93525317,732864
293,951648184_2016.0,NEIGHBORHOOD HOUSE ASSN,951648184,2016.0,92111,4241,0,208120,0,85482020,539917,0,86234298,752278
294,951648184_2015.0,NEIGHBORHOOD HOUSE ASSN,951648184,2015.0,92111,6215,0,193732,0,83944092,573315,0,84717354,773262
295,951648184_2014.0,NEIGHBORHOOD HOUSE ASSN,951648184,2014.0,92111,7121,0,163374,0,81106064,333272,0,81609831,503767
296,951648184_2013.0,NEIGHBORHOOD HOUSE ASSN,951648184,2013.0,0,3876,0,89183,0,76395637,466969,287665,76955665,560028
297,952693142_2021.0,SBCS CORPORATION,952693142,2021.0,91910,0,0,726095,0,82876281,3187139,144304,86789515,3913234
298,952693142_2020.0,SBCS CORPORATION,952693142,2020.0,91910,0,0,0,0,93767513,4511207,411334,98278720,4511207
299,952693142_2019.0,SOUTH BAY COMMUNITY SERVICES,952693142,2019.0,91910,0,0,165510,0,30495738,2038952,78823,32700200,2204462
300,952693142_2018.0,SOUTH BAY COMMUNITY SERVICES,952693142,2018.0,91910,0,0,230647,0,24769279,603727,148832,25603653,834374
301,952693142_2017.0,SOUTH BAY COMMUNITY SERVICES,952693142,2017.0,91910,0,0,187711,0,23679156,505996,75340,24372863,693707
302,952693142_2016.0,SOUTH BAY COMMUNITY SERVICES,952693142,2016.0,91910,0,0,158754,0,24108727,511375,194845,24778856,670129
303,952693142_2015.0,SOUTH BAY COMMUNITY SERVICES,952693142,2015.0,91910,0,0,0,0,23412360,546969,278454,23959329,546969
304,952693142_2014.0,SOUTH BAY COMMUNITY SERVICES,952693142,2014.0,91910,0,0,0,0,23927898,491641,189443,24419539,491641
305,952693142_2013.0,SOUTH BAY COMMUNITY SERVICES,952693142,2013.0,0,0,0,149889,0,21811905,1018122,169822,22979916,1168011
306,330217339_2021.0,CRISIS HOUSE,330217339,2021.0,92071,0,0,0,0,2812646,0,74537,2812646,0
307,330217339_2020.0,CRISIS HOUSE,330217339,2020.0,92071,0,0,0,0,1923024,491981,49511,2415005,491981
308,330217339_2019.0,CRISIS HOUSE,330217339,2019.0,92020,0,0,0,0,1933389,437262,74525,2370651,437262
309,330217339_2018.0,CRISIS HOUSE,330217339,2018.0,92020,0,0,10770,0,1424698,512193,118107,1947661,522963
310,330217339_2017.0,CRISIS HOUSE,330217339,2017.0,92020,0,0,0,0,1433825,346726,183702,1780551,346726
311,330217339_2016.0,CRISIS HOUSE,330217339,2016.0,92020,0,0,0,0,802795,342525,189186,1145320,342525
312,330217339_2015.0,CRISIS HOUSE,330217339,2015.0,92020,0,0,0,0,756702,273265,169610,1029967,273265
313,330217339_2014.0,CRISIS HOUSE,330217339,2014.0,92020,0,0,0,0,761869,273527,164026,1035396,273527
314,330217339_2013.0,CRISIS HOUSE,330217339,2013.0,0,0,0,0,0,789054,207241,151705,996295,207241
315,952794253_2021.0,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,952794253,2021.0,92084,0,0,0,0,13405575,451714,223226,13857289,451714
316,952794253_2020.0,NORTH COUNTY LIFELINE INC DBA LIFELINE COMMUNITY SERVICES,952794253,2020.0,92056,0,0,0,0,13098737,679469,189639,13778206,679469
317,952794253_2019.0,NORTH COUNTY LIFELINE INC,952794253,2019.0,92056,0,0,0,0,12446965,392396,251569,12839361,392396
318,952794253_2018.0,NORTH COUNTY LIFELINE INC,952794253,2018.0,92056,0,0,0,0,10496439,353245,235480,10849684,353245
319,952794253_2017.0,NORTH COUNTY LIFELINE INC,952794253,2017.0,92056,0,0,0,0,9738384,287018,207107,10025402,287018
320,952794253_2016.0,NORTH COUNTY LIFELINE INC,952794253,2016.0,92056,0,0,0,0,7910489,269310,107107,8179799,269310
321,952794253_2015.0,NORTH COUNTY LIFELINE INC,952794253,2015.0,92056,0,0,0,0,7008292,156226,71467,7164518,156226
322,952794253_2014.0,NORTH COUNTY LIFELINE INC,952794253,2014.0,92056,0,0,0,0,6666125,112730,70794,6778855,112730
323,951945256_2021.0,EPISCOPAL COMMUNITY SERVICES,951945256,2021.0,91950,0,0,194185,0,29144007,718360,0,30056552,912545
324,951945256_2020.0,EPISCOPAL COMMUNITY SERVICES,951945256,2020.0,91950,0,0,151115,0,26417739,606991,0,27175845,758106
325,951945256_2019.0,EPISCOPAL COMMUNITY SERVICES,951945256,2019.0,91950,0,0,168750,0,26628948,568432,76845,27366130,737182
326,951945256_2018.0,EPISCOPAL COMMUNITY SERVICES,951945256,2018.0,91950,0,0,137949,0,25902728,527617,129159,26568294,665566
327,951945256_2017.0,EPISCOPAL COMMUNITY SERVICES,951945256,2017.0,91950,0,0,124077,0,23934591,719216,0,24777884,843293
328,951945256_2016.0,EPISCOPAL COMMUNITY SERVICES,951945256,2016.0,91950,0,0,101625,0,22673613,301556,0,23076794,403181
329,951945256_2015.0,EPISCOPAL COMMUNITY SERVICES,951945256,2015.0,91950,0,0,51225,0,22100447,340084,0,22491756,391309
330,951945256_2014.0,EPISCOPAL COMMUNITY SERVICES,951945256,2014.0,91950,2158,0,40700,0,21298296,289319,0,21630473,332177
331,951945256_2013.0,EPISCOPAL COMMUNITY SERVICES,951945256,2013.0,0,2552,0,19000,0,19316434,323170,0,19661156,344722
332,270865318_2021.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2021.0,92021,0,0,0,0,0,4219724,3264414,4219724,4219724
333,270865318_2020.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2020.0,92021,0,0,0,0,0,3247868,2243641,3247868,3247868
334,270865318_2019.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2019.0,92021,0,0,0,0,0,1616436,1140751,1616436,1616436
335,270865318_2018.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2018.0,92021,0,0,0,0,0,2215373,1511646,2215373,2215373
336,270865318_2017.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2017.0,92021,0,0,0,0,80004,1549664,905744,1629668,1549664
337,270865318_2016.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2016.0,92021,0,0,0,0,164573,692054,580726,856627,692054
338,270865318_2015.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2015.0,92021,0,0,0,0,77030,633257,412106,710287,633257
339,270865318_2014.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2014.0,92021,0,0,0,0,0,205197,75,205197,205197
340,270865318_2013.0,EAST COUNTY TRANSITIONAL LIVING CENTER INC,270865318,2013.0,0,0,0,0,0,140946,668090,563555,809036,668090
341,821946283_2021.0,SDHC BUILDING OPPORTUNITIES INC,821946283,2021.0,92101,0,0,0,0,0,353094,0,353094,353094
342,821946283_2020.0,SDHC BUILDING OPPORTUNITIES INC,821946283,2020.0,92101,0,0,0,0,0,116000,0,116000,116000
343,821946283_2019.0,SDHC BUILDING OPPORTUNITIES INC,821946283,2019.0,92101,0,0,0,0,0,366114,0,366114,366114
353,330602842_2021.0,THE ASSOCIATION FOR COMMUNITY HOUSING SOLUTIONS,330602842,2021.0,92123,0,0,0,0,1659718,27280,0,1686998,27280
354,330602842_2020.0,TACHS,330602842,2020.0,92123,0,0,0,0,1598008,25316,0,1623324,25316
355,330902617_2021.0,SOLUTIONS FOR CHANGE INC,330902617,2021.0,92083,0,0,344910,0,578971,2752293,20111,3676174,3097203
356,330902617_2020.0,SOLUTIONS FOR CHANGE INC,330902617,2020.0,92083,0,0,10100,0,398625,2433828,0,2842553,2443928
357,330902617_2019.0,SOLUTIONS FOR CHANGE INC,330902617,2019.0,92083,0,0,155775,0,75000,1513911,95223,1744686,1669686
358,330902617_2018.0,SOLUTIONS FOR CHANGE INC,330902617,2018.0,92083,0,0,250677,0,200000,2319654,144589,2770331,2570331
359,330902617_2017.0,SOLUTIONS FOR CHANGE INC,330902617,2017.0,92083,0,0,33059,0,300000,1503790,0,1836849,1536849
360,330902617_2016.0,SOLUTIONS FOR CHANGE INC,330902617,2016.0,92083,0,0,163539,0,0,1694851,14192,1858390,1858390
361,330902617_2015.0,SOLUTIONS FOR CHANGE INC,330902617,2015.0,92083,0,0,649293,0,0,1231933,133368,1881226,1881226
362,330902617_2014.0,SOLUTIONS FOR CHANGE INC,330902617,2014.0,92083,0,0,737190,0,0,1407551,116236,2144741,2144741
363,952457354_2021.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2021.0,91911,0,0,0,0,44408141,3256460,2136983,47664601,3256460
364,952457354_2020.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2020.0,91911,0,0,0,0,35941636,3522954,2632688,39464590,3522954
365,952457354_2019.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2019.0,91911,0,0,204555,0,35487026,2434789,2298104,38126370,2639344
366,952457354_2018.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2018.0,91911,0,0,35000,0,29811044,2412572,1869374,32258616,2447572
367,952457354_2017.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2017.0,91911,0,0,36800,0,27582015,2269306,2049541,29888121,2306106
368,952457354_2016.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2016.0,91911,0,0,16800,0,28532127,2003551,1738321,30552478,2020351
369,952457354_2015.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY IN,952457354,2015.0,91911,0,0,125830,0,28333254,925726,893295,29384810,1051556
370,952457354_2013.0,METROPOLITAN AREA ADVISORY COMMITTEE ON ANTIPOVERTY OF SAN DIEGO COUNTY INC,952457354,2013.0,0,0,0,0,0,0,254541,0,254541,254541
371,330008269_2021.0,ADJOIN FORMERLY COMMUNITY CATALYSTS OF CA,330008269,2021.0,92123,0,0,0,0,11022640,15265,0,11037905,15265
372,330008269_2020.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2020.0,92111,0,0,0,0,7508861,136902,0,7645763,136902
373,330008269_2019.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2019.0,92111,0,0,0,0,4315826,18835,0,4334661,18835
374,330008269_2018.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2018.0,92111,0,0,0,0,4486116,15457,0,4501573,15457
375,330008269_2017.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2017.0,92111,0,0,0,0,4079963,13450,0,4093413,13450
376,330008269_2016.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2016.0,92111,0,0,0,0,4117430,14732,0,4132162,14732
377,330008269_2015.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2015.0,92111,0,0,0,0,2577779,15146,0,2592925,15146
378,330008269_2014.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2014.0,92111,0,0,0,0,2111479,23405,0,2134884,23405
379,330008269_2013.0,COMMUNITY CATALYSTS OF CALIFORNIA,330008269,2013.0,0,0,0,0,0,1057513,29269,0,1086782,29269
380,953031682_2020.0,ABLEDISABLED ADVOCACY INC,953031682,2020.0,92105,0,0,0,0,1945475,284250,220883,2229725,284250
381,953031682_2019.0,ABLEDISABLED ADVOCACY INC,953031682,2019.0,92105,0,0,0,0,2019536,488151,404620,2507687,488151
382,953031682_2018.0,ABLEDISABLED ADVOCACY INC,953031682,2018.0,92105,0,0,0,0,1962090,377739,237256,2339829,377739
383,953031682_2017.0,ABLEDISABLED ADVOCACY INC,953031682,2017.0,92105,0,0,0,0,1996303,141338,49843,2137641,141338
384,953031682_2016.0,ABLEDISABLED ADVOCACY INC,953031682,2016.0,92105,0,0,0,0,0,2076118,0,2076118,2076118
385,953031682_2015.0,ABLEDISABLED ADVOCACY INC,953031682,2015.0,92105,0,0,0,0,1677760,16974,0,1694734,16974
386,953031682_2014.0,ABLEDISABLED ADVOCACY INC,953031682,2014.0,92105,0,0,0,0,1698955,350076,0,2049031,350076
387,953031682_2013.0,ABLEDISABLED ADVOCACY INC,953031682,2013.0,0,0,0,0,0,1662856,304412,0,1967268,304412
388,237161267_2021.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2021.0,92082,0,0,0,0,19481149,5513833,142150,24994982,5513833
389,237161267_2020.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2020.0,92082,0,0,0,0,15254349,4040759,83169,19295108,4040759
390,237161267_2019.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2019.0,92082,0,0,0,0,16187588,3801316,109457,19988904,3801316
391,237161267_2018.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2018.0,92082,0,0,0,0,15031002,3433623,159069,18464625,3433623
392,237161267_2017.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2017.0,92082,0,0,0,0,14642740,3301262,142164,17944002,3301262
393,237161267_2016.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2016.0,92082,0,0,0,0,14998644,2860730,138656,17859374,2860730
394,237161267_2015.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2015.0,92082,0,0,0,0,15121712,2746407,137017,17868119,2746407
395,237161267_2014.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2014.0,92082,0,0,0,0,14582040,2690773,136381,17272813,2690773
396,237161267_2013.0,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2013.0,0,0,0,0,0,14784217,2782242,136516,17566459,2782242
397,330497515_2021.0,LAS PALMAS FOUNDATION,330497515,2021.0,92024,0,0,0,0,0,0,0,0,0
398,330497515_2020.0,LAS PALMAS FOUNDATION,330497515,2020.0,92024,0,0,0,0,0,0,0,0,0
399,330497515_2019.0,LAS PALMAS FOUNDATION,330497515,2019.0,92024,0,0,0,0,0,600,0,600,600
400,330497515_2018.0,LAS PALMAS FOUNDATION,330497515,2018.0,92024,0,0,0,0,0,300,0,300,300
401,330497515_2017.0,LAS PALMAS FOUNDATION,330497515,2017.0,92024,0,0,0,0,0,550,0,550,550
402,330497515_2016.0,LAS PALMAS FOUNDATION,330497515,2016.0,92024,0,0,0,0,0,0,0,0,0
403,330497515_2015.0,LAS PALMAS FOUNDATION,330497515,2015.0,92024,0,0,0,0,149000,0,0,149000,0
404,330497515_2014.0,LAS PALMAS FOUNDATION,330497515,2014.0,92024,0,0,0,0,47171,0,0,47171,0
405,330497515_2013.0,LAS PALMAS FOUNDATION,330497515,2013.0,0,0,0,0,0,357902,0,0,357902,0
406,953750738_2020.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2020.0,92127,0,0,0,0,0,0,0,0,0
407,953750738_2019.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2019.0,92127,0,0,0,0,0,0,0,0,0
408,953750738_2018.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2018.0,92127,0,0,0,0,54330,0,0,54330,0
409,953750738_2017.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2017.0,92127,0,0,0,0,56517,0,0,56517,0
410,953750738_2016.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2016.0,92127,0,0,0,0,55911,0,0,55911,0
411,953750738_2015.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2015.0,92127,0,0,0,0,56788,0,0,56788,0
412,953750738_2014.0,CALEXICO PLAZA DEVELOPMENT CORP,953750738,2014.0,92127,0,0,0,0,55336,0,0,55336,0
421,953798088_2021.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2021.0,92127,0,0,0,0,21822,0,0,21822,0
422,953798088_2020.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2020.0,92127,0,0,0,0,46247,0,0,46247,0
423,953798088_2019.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2019.0,92127,0,0,0,0,60562,0,0,60562,0
424,953798088_2018.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2018.0,92127,0,0,0,0,77704,0,0,77704,0
425,953798088_2017.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2017.0,92127,0,0,0,0,64454,0,0,64454,0
426,953798088_2016.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2016.0,92127,0,0,0,0,61998,0,0,61998,0
427,953798088_2015.0,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2015.0,92127,0,0,0,0,72019,0,0,72019,0
428,952111196_2020.0,ST PAULS EPISCOPAL HOME INC,952111196,2020.0,92103,0,0,0,460593,1014136,2605006,15000,4079735,3065599
429,952111196_2019.0,ST PAULS EPISCOPAL HOME INC,952111196,2019.0,92103,0,0,0,120352,2116459,937706,0,3174517,1058058
430,952111196_2018.0,ST PAULS EPISCOPAL HOME INC,952111196,2018.0,92103,0,0,0,175050,5330,1620000,0,1800380,1795050
431,952111196_2017.0,ST PAULS EPISCOPAL HOME INC,952111196,2017.0,92103,0,0,0,277177,0,263586,0,540763,540763
432,952111196_2016.0,ST PAULS EPISCOPAL HOME INC,952111196,2016.0,92103,0,0,0,1683986,0,1718750,0,3402736,3402736
433,952111196_2014.0,ST PAULS EPISCOPAL HOME INC,952111196,2014.0,921036522,0,0,0,503809,83178,0,0,586987,503809
434,952111196_2013.0,ST PAULS EPISCOPAL HOME INC,952111196,2013.0,0,0,0,0,0,0,2001843,0,2001843,2001843
435,952949636_2020.0,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2020.0,92127,0,0,0,0,0,158572,0,158572,158572
436,952949636_2019.0,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2019.0,92127,0,0,0,0,132432,0,0,132432,0
437,952949636_2018.0,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2018.0,92127,0,0,0,0,161530,0,0,161530,0
438,952949636_2017.0,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2017.0,92127,0,0,0,0,139382,0,0,139382,0
439,952949636_2016.0,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2016.0,92127,0,0,0,0,141447,0,0,141447,0
440,952949636_2015.0,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2015.0,92127,0,0,0,0,320264,0,0,320264,0
441,952949636_2014.0,CATHEDRAL PLAZA DEVELOPMENT CORP CO ROYAL PROPERTY MGMT GROUP INC,952949636,2014.0,92127,0,0,0,0,433182,0,0,433182,0
442,330618893_2018.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2018.0,92127,0,0,0,0,59823,0,0,59823,0
443,330618893_2017.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2017.0,92127,0,0,0,0,59524,0,0,59524,0
444,330618893_2016.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2016.0,92127,0,0,0,0,58030,0,0,58030,0
445,330618893_2015.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2015.0,92127,0,0,0,0,56783,0,0,56783,0
446,330618893_2014.0,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2014.0,92127,0,0,0,0,55753,0,0,55753,0
447,953782164_2020.0,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2020.0,91901,0,0,0,0,19406720,120824,59013,19527544,120824
448,953782164_2019.0,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2019.0,91901,0,0,0,0,15329504,54763,54763,15384267,54763
449,953782164_2018.0,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2018.0,91901,0,0,0,0,12821614,171201,44396,12992815,171201
450,953782164_2017.0,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2017.0,91901,0,0,0,0,12039956,227741,42532,12267697,227741
451,953782164_2016.0,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2016.0,91901,0,0,0,0,11237004,378725,39036,11615729,378725
452,953782164_2015.0,SOUTHERN INDIAN HEALTH COUNCIL,953782164,2015.0,91901,0,0,0,0,10326684,926092,96307,11252776,926092
453,953782164_2014.0,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2014.0,91901,0,0,0,0,10459020,638433,123626,11097453,638433
454,953782164_2013.0,SOUTHERN INDIAN HEALTH COUNCIL INC,953782164,2013.0,0,0,0,0,0,9395777,145941,97417,9541718,145941
462,273390797_2020.0,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2020.0,92105,0,0,0,0,293380,374295,5000,667675,374295
463,273390797_2019.0,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2019.0,92105,0,0,0,0,402438,233989,463,636427,233989
464,273390797_2018.0,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2018.0,92105,0,0,0,0,252176,221576,1000,473752,221576
465,273390797_2017.0,SOMALI BANTU ASSOCIATION OF AMERICA,273390797,2017.0,92105,0,0,0,0,0,393129,15488,393129,393129
466,931008369_2021.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2021.0,92115,0,0,0,0,0,695967,18000,695967,695967
467,931008369_2020.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2020.0,92115,0,0,0,0,175000,127017,0,302017,127017
468,931008369_2019.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2019.0,92115,0,0,42454,0,0,101691,0,144145,144145
469,931008369_2018.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2018.0,92115,0,0,0,0,0,145494,0,145494,145494
470,931008369_2017.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2017.0,92115,0,0,6304,0,0,82574,0,88878,88878
471,931008369_2016.0,ALLIANCE FOR AFRICAN ASSISTANCE,931008369,2016.0,92115,0,0,0,0,0,116000,0,116000,116000
