,ba,EIN,Tax Year,Tax End Date,Location (Zipcode),Federate Campaigns,Membership Dues,Fundraising Events,Related Organizations,Government Grants,All Other Contributions,Noncash Contributions,Total
241,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2019.0,09-30-2020,90275,0,0,0,0,786788,0,0,786788
242,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2018.0,09-30-2019,90275,0,0,0,0,745913,0,0,745913
243,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2017.0,09-30-2018,90275,0,0,0,0,712870,0,0,712870
244,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2016.0,09-30-2017,90802,0,0,0,0,665873,0,0,665873
245,THE SALVATION ARMY SAN DIEGO RESIDENCES INC,330553621,2015.0,09-30-2016,90802,0,0,0,0,621388,0,0,621388
246,NEW ALTERNATIVES INC,953244085,2021.0,12-31-2021,92163,0,0,0,0,0,205330,0,205330
247,NEW ALTERNATIVES INC,953244085,2020.0,12-31-2020,92163,0,0,0,0,0,138850,0,138850
248,NEW ALTERNATIVESINC,953244085,2019.0,12-31-2019,92163,0,0,0,0,0,291658,0,291658
249,NEW ALTERNATIVESINC,953244085,2018.0,12-31-2018,92163,0,0,0,0,0,390047,0,390047
250,NEW ALTERNATIVESINC,953244085,2017.0,12-31-2017,92163,0,0,0,0,29308,741356,0,770664
251,NEW ALTERNATIVESINC,953244085,2016.0,12-31-2016,92163,0,0,0,0,0,274792,0,274792
252,NEW ALTERNATIVESINC,953244085,2015.0,12-31-2015,92163,0,0,0,0,0,467092,0,467092
253,NEW ALTERNATIVESINC,953244085,2014.0,12-31-2014,92163,0,0,0,0,0,347574,22000,347574
254,NEW ALTERNATIVESINC,953244085,2013.0,12-31-2013,0,0,0,0,0,0,414625,0,414625
255,Not found,953244085,,,0,0,0,0,0,0,0,0,0
256,Not found,953244085,,,0,0,0,0,0,0,0,0,0
257,Not found,953244085,,,0,0,0,0,0,0,0,0,0
258,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2021.0,06-30-2022,92114,1540,0,0,0,20005029,372324,6675,20378893
259,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2020.0,06-30-2021,92114,2330,0,0,0,16520044,2875583,0,19397957
260,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2019.0,06-30-2020,92114,1859,0,0,0,14166199,2669644,0,16837702
261,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2018.0,06-30-2019,92114,3151,0,0,0,13243289,3568421,0,16814861
262,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2017.0,06-30-2018,92114,3609,0,15000,0,12367467,3883995,0,16270071
263,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2016.0,06-30-2017,92114,1677,0,10000,0,12558042,4108352,19250,16678071
264,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2015.0,06-30-2016,92114,2336,0,0,0,13495410,5125303,9234,18623049
265,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2014.0,06-30-2015,92114,3514,0,0,0,12988512,3613017,0,16605043
266,LEGAL AID SOCIETY OF SAN DIEGO,951869806,2013.0,06-30-2014,0,4012,0,0,0,10148597,3759271,0,13911880
267,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390,2021.0,12-31-2021,95814,0,0,0,0,2186940,161051,0,2347991
268,CALIFORNIA INDIAN LEGAL SERVICES INC,941676390,2020.0,12-31-2020,92025,0,0,0,0,2026456,18802,0,2045258
269,CASA DE AMPARO,953315571,2021.0,06-30-2022,92069,0,0,583861,0,7481645,2820702,242271,10886208
270,CASA DE AMPARO,953315571,2020.0,06-30-2021,92069,0,0,330639,0,8632004,4259264,541051,13221907
271,CASA DE AMPARO,953315571,2019.0,06-30-2020,92069,0,0,128260,0,8253706,1511144,229425,9893110
272,CASA DE AMPARO,953315571,2018.0,06-30-2019,92069,0,0,119380,0,402566,1441065,319577,1963011
273,CASA DE AMPARO,953315571,2017.0,06-30-2018,92069,1924,0,14888,0,5669765,1737039,408738,7423616
274,CASA DE AMPARO,953315571,2016.0,06-30-2017,92069,11487,0,225830,0,222038,3348922,486662,3808277
275,CASA DE AMPARO,953315571,2015.0,06-30-2016,92069,14662,0,337599,0,191203,2208953,424543,2752417
276,CASA DE AMPARO,953315571,2014.0,06-30-2015,92069,21271,0,406648,0,0,1819359,526420,2247278
277,CASA DE AMPARO,953315571,2013.0,06-30-2014,0,19803,0,352886,0,0,1568835,376849,1941524
278,Not found,953315571,,,0,0,0,0,0,0,0,0,0
279,Not found,953315571,,,0,0,0,0,0,0,0,0,0
280,Not found,953315571,,,0,0,0,0,0,0,0,0,0
281,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2018.0,12-31-2018,92127,0,0,0,0,59823,0,0,59823
282,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2017.0,12-31-2017,92127,0,0,0,0,59524,0,0,59524
283,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2016.0,12-31-2016,92127,0,0,0,0,58030,0,0,58030
284,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2015.0,12-31-2015,92127,0,0,0,0,56783,0,0,56783
285,ESCONDIDO GARDENS HOUSING FOUNDATION,330618893,2014.0,12-31-2014,92127,0,0,0,0,55753,0,0,55753
286,YMCA OF SAN DIEGO COUNTY,952039198,2021.0,06-30-2022,92123,0,0,111000,162000,122845000,8442000,517000,131560000
287,YMCA OF SAN DIEGO COUNTY,952039198,2020.0,06-30-2021,92123,0,0,461000,0,131804000,37728000,2305000,169532000
288,YMCA OF SAN DIEGO COUNTY,952039198,2019.0,06-30-2020,92123,0,0,0,0,103823000,20816000,0,124639000
289,YMCA OF SAN DIEGO COUNTY,952039198,2018.0,06-30-2019,92123,0,0,0,0,92115000,11971000,440000,104086000
290,YMCA OF SAN DIEGO COUNTY,952039198,2017.0,06-30-2018,92123,0,0,0,0,79369000,15066000,0,94435000
291,YMCA OF SAN DIEGO COUNTY,952039198,2016.0,06-30-2017,92123,0,0,0,0,66857000,16797000,1985000,83654000
292,YMCA OF SAN DIEGO COUNTY,952039198,2015.0,06-30-2016,92123,0,0,0,0,59368000,15803000,0,75171000
293,YMCA OF SAN DIEGO COUNTY,952039198,2014.0,06-30-2015,92123,0,0,0,0,52614000,12983000,731000,65597000
294,YMCA OF SAN DIEGO COUNTY,952039198,2013.0,06-30-2014,0,0,0,0,0,45948000,0,7030000,68593000
295,Not found,952039198,,,0,0,0,0,0,0,0,0,0
296,Not found,952039198,,,0,0,0,0,0,0,0,0,0
297,Not found,952039198,,,0,0,0,0,0,0,0,0,0
298,Not found,952039198,,,0,0,0,0,0,0,0,0,0
299,Deaf Community Services of San Diego Inc,330006089,2021.0,06-30-2022,92108,1801,0,0,0,1870912,70092,0,1942805
300,Deaf Community Services of San Diego Inc,330006089,2020.0,06-30-2021,92108,1980,0,0,0,1942352,134573,0,2078905
301,Deaf Community Services of San Diego Inc,330006089,2019.0,06-30-2020,92108,2787,0,0,0,2656426,144693,0,2803906
302,Deaf Community Services of San Diego Inc,330006089,2018.0,06-30-2019,92108,3178,0,34205,0,2111657,165828,0,2314868
303,Deaf Community Services of San Diego Inc,330006089,2017.0,06-30-2018,92108,2240,0,0,0,1438267,124495,0,1565002
304,COMMUNITY RESEARCH FOUNDATION INC,953248148,2021.0,06-30-2022,92110,0,0,0,0,74600506,24498,0,74625004
305,COMMUNITY RESEARCH FOUNDATION INC,953248148,2020.0,06-30-2021,92110,0,0,0,0,73708400,74747,0,73783147
306,COMMUNITY RESEARCH FOUNDATION INC,953248148,2019.0,06-30-2020,92110,0,0,0,0,75268724,49776,0,75318500
307,COMMUNITY RESEARCH FOUNDATION INC,953248148,2018.0,06-30-2019,92110,0,0,0,0,67698783,40892,0,67739675
308,COMMUNITY RESEARCH FOUNDATION INC,953248148,2017.0,06-30-2018,92110,0,0,0,0,60139803,45233,0,60185036
309,COMMUNITY RESEARCH FOUNDATION INC,953248148,2016.0,06-30-2017,92110,0,0,0,0,53517314,36320,0,53553634
310,COMMUNITY RESEARCH FOUNDATION INC,953248148,2015.0,06-30-2016,92110,0,0,0,0,47272420,23961,0,47296381
311,COMMUNITY RESEARCH FOUNDATION INC,953248148,2014.0,06-30-2015,92110,0,0,0,0,42669457,25407,0,42694864
312,Community Research Foundation Inc,953248148,2013.0,06-30-2014,0,0,0,0,0,0,24777,0,24777
313,Not found,953248148,,,0,0,0,0,0,0,0,0,0
314,Interfaith Community Services Inc,953837714,2021.0,06-30-2022,92025,0,0,0,0,1841932,7012518,686697,8854450
315,Interfaith Community Services Inc,953837714,2020.0,06-30-2021,92025,0,0,0,0,0,8230080,609510,8230080
316,Interfaith Community Services Inc,953837714,2019.0,06-30-2020,92025,371,0,0,0,0,7188385,840491,7188756
317,Interfaith Community Services Inc,953837714,2018.0,06-30-2019,92025,7874,0,0,0,0,4659335,931132,4667209
318,Interfaith Community Services Inc,953837714,2017.0,06-30-2018,92025,2794,0,0,0,0,6715132,859409,6717926
319,Interfaith Community Services Inc,953837714,2016.0,06-30-2017,92025,2721,0,0,0,0,8376642,790662,8379363
320,Interfaith Community Services Inc,953837714,2015.0,06-30-2016,92025,2401,0,0,0,0,4366929,635553,4369330
321,Interfaith Community Services Inc,953837714,2014.0,06-30-2015,92025,3029,0,0,0,0,4472449,665579,4475478
322,INTERFAITH COMMUNITY SERVICES INC,953837714,2013.0,06-30-2014,0,6806,0,0,0,0,3613283,887487,3620089
323,Not found,010826173,,,0,0,0,0,0,0,0,0,0
324,Not found,953837714,,,0,0,0,0,0,0,0,0,0
325,Not found,953837714,,,0,0,0,0,0,0,0,0,0
326,SVDP Management Inc,330492304,2021.0,12-31-2021,921023332,0,0,0,0,1563590,6337890,5901007,7901480
327,SVDP MANAGEMENT INC,330492304,2020.0,12-31-2020,921023332,0,0,0,0,4472823,5016886,4787018,9489709
328,SVDP MANAGEMENT INC,330492304,2019.0,12-31-2019,921023332,0,0,0,0,578517,15544341,5811788,16122858
329,SVDP MANAGEMENT INC,330492304,2018.0,12-31-2018,921023332,0,0,0,0,102020,2137155,2067214,2239175
330,SVDP MANAGEMENT INC,330492304,2017.0,12-31-2017,921023332,0,0,0,0,279676,6295355,5923230,6575031
331,SVDP Management Inc,330492304,2016.0,12-31-2016,921023332,0,0,0,0,242055,2887758,2649029,3129813
332,SVDP MANAGEMENT INC,330492304,2015.0,12-31-2015,921023332,0,0,0,0,560794,2189344,2070609,2750138
333,SVDP MANAGEMENT INC,330492304,2014.0,12-31-2014,921023332,0,0,0,0,53414,4343339,3008521,4396753
334,SVDP MANAGEMENT INC,330492304,2013.0,12-31-2013,0,0,0,0,0,31775,3870896,3306989,3902671
335,Not found,010826173,,,0,0,0,0,0,0,0,0,0
336,Not found,010826173,,,0,0,0,0,0,0,0,0,0
337,Not found,330492304,,,0,0,0,0,0,0,0,0,0
338,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2021.0,06-30-2022,92138,0,0,0,157000,1981922,2149303,0,4288225
339,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2020.0,06-30-2021,92138,0,0,0,130000,1958200,59307,0,2147507
340,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2019.0,06-30-2020,92138,0,0,0,90000,1262411,926461,0,2278872
341,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2018.0,06-30-2019,92138,0,0,0,126000,533845,222315,0,882160
342,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2017.0,06-30-2018,92138,0,0,0,129490,582820,139711,0,852021
343,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2016.0,06-30-2017,921380156,0,0,0,0,416078,76090,3900,492168
344,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2015.0,06-30-2016,921380156,0,0,0,0,597550,188256,0,785806
345,URBAN CORPS OF SAN DIEGO COUNTY,330352148,2014.0,06-30-2015,921380156,0,0,60500,0,56744,226704,0,343948
346,Urban Corps of San Diego County,330352148,2013.0,06-30-2014,0,0,0,0,0,50000,207117,50000,257117
347,Not found,330352148,,,0,0,0,0,0,0,0,0,0
348,Not found,330352148,,,0,0,0,0,0,0,0,0,0
349,Not found,330352148,,,0,0,0,0,0,0,0,0,0
350,Not found,330352148,,,0,0,0,0,0,0,0,0,0
351,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2021.0,12-31-2021,92127,0,0,0,0,21822,0,0,21822
352,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2020.0,12-31-2020,92127,0,0,0,0,46247,0,0,46247
353,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2019.0,12-31-2019,92127,0,0,0,0,60562,0,0,60562
354,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2018.0,12-31-2018,92127,0,0,0,0,77704,0,0,77704
355,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2017.0,12-31-2017,92127,0,0,0,0,64454,0,0,64454
356,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2016.0,12-31-2016,92127,0,0,0,0,61998,0,0,61998
357,GUADALUPE PLAZA DEVELOPMENT CORPORATION,953798088,2015.0,12-31-2015,92127,0,0,0,0,72019,0,0,72019
358,Not found,953798088,,,0,0,0,0,0,0,0,0,0
359,SERVING SENIORS,952850121,2021.0,06-30-2022,92101,0,0,129000,0,8663919,3595528,0,12388447
360,SERVING SENIORS,952850121,2020.0,06-30-2021,92101,0,0,250845,0,10529880,2712201,0,13492926
361,SERVING SENIORS,952850121,2019.0,06-30-2020,92101,0,0,53970,0,5623675,3947673,0,9625318
362,SERVING SENIORS,952850121,2018.0,06-30-2019,92101,0,0,161620,0,4078668,2248135,124834,6488423
363,SERVING SENIORS,952850121,2017.0,06-30-2018,92101,0,0,101071,0,3298204,1739118,236047,5138393
364,SERVING SENIORS,952850121,2014.0,06-30-2015,92101,0,0,0,0,3260642,1926705,565000,5187347
365,MENTAL HEALTH SYSTEMS INC,953302967,2021.0,06-30-2022,92123,0,0,0,0,93554678,271291,0,93825969
366,MENTAL HEALTH SYSTEMS INC,953302967,2020.0,06-30-2021,92123,0,0,0,0,98611907,25197,0,98637104
367,MENTAL HEALTH SYSTEMS INC,953302967,2019.0,06-30-2020,92123,0,0,0,0,90049407,32870,0,90082277
368,MENTAL HEALTH SYSTEMS INC,953302967,2018.0,06-30-2019,92123,0,0,0,0,71062143,77961,0,71140104
369,MENTAL HEALTH SYSTEMS INC,953302967,2017.0,06-30-2018,92123,0,0,0,0,61935444,79120,0,62014564
370,Mental Health Systems Inc,953302967,2016.0,06-30-2017,92123,0,0,0,0,62030562,78628,0,62109190
371,MENTAL HEALTH SYSTEMS INC,953302967,2015.0,06-30-2016,92123,0,0,0,0,67248615,281825,0,67530440
372,MENTAL HEALTH SYSTEMS INC,953302967,2014.0,06-30-2015,92123,0,0,0,0,72132439,267385,0,72399824
373,MENTAL HEALTH SYSTEMS INC,953302967,2013.0,06-30-2014,0,0,0,0,0,0,109691,0,140328
374,Not found,953302967,,,0,0,0,0,0,0,0,0,0
375,Not found,953302967,,,0,0,0,0,0,0,0,0,0
376,Not found,953302967,,,0,0,0,0,0,0,0,0,0
377,Not found,953302967,,,0,0,0,0,0,0,0,0,0
378,BREAD OF LIFE RESCUE MISSION,311750839,2020.0,07-31-2021,38557,0,0,0,0,42794,258346,0,301140
379,BREAD OF LIFE RESCUE MISSION,311750839,2019.0,07-31-2020,38557,0,0,0,0,0,285706,0,285706
380,BREAD OF LIFE RESCUE MISSION,311750839,2018.0,07-31-2019,38557,0,0,0,0,0,300810,9720,300810
381,BREAD OF LIFE RESCUE MISSION,311750839,2017.0,07-31-2018,38557,0,0,0,0,0,315897,0,315897
382,BREAD OF LIFE RESCUE MISSION,311750839,2016.0,07-31-2017,38557,0,0,0,0,0,487088,0,487088
383,BREAD OF LIFE RESCUE MISSION,311750839,2015.0,07-31-2016,38557,0,0,0,0,0,338629,0,338629
384,BREAD OF LIFE RESCUE MISSION,311750839,2014.0,07-31-2015,38557,0,0,0,0,0,429101,20000,429101
385,BREAD OF LIFE RESCUE MISSION,311750839,2013.0,07-31-2014,0,0,0,0,0,0,356509,0,356509
386,Not found,311750839,,,0,0,0,0,0,0,0,0,0
387,ST PAUL'S EPISCOPAL HOME INC,952111196,2020.0,08-31-2021,92103,0,0,0,460593,1014136,2605006,15000,4079735
388,ST PAUL'S EPISCOPAL HOME INC,952111196,2019.0,08-31-2020,92103,0,0,0,120352,2116459,937706,0,3174517
389,ST PAUL'S EPISCOPAL HOME INC,952111196,2018.0,08-31-2019,92103,0,0,0,175050,5330,1620000,0,1800380
390,ST PAUL'S EPISCOPAL HOME INC,952111196,2017.0,08-31-2018,92103,0,0,0,277177,0,263586,0,540763
391,ST PAUL'S EPISCOPAL HOME INC,952111196,2016.0,08-31-2017,92103,0,0,0,1683986,0,1718750,0,3402736
392,ST PAUL'S EPISCOPAL HOME INC,952111196,2014.0,08-31-2015,921036522,0,0,0,503809,83178,0,0,586987
393,ST PAUL'S EPISCOPAL HOME INC,952111196,2013.0,08-31-2014,0,0,0,0,0,0,2001843,0,2001843
394,Not found,952111196,,,0,0,0,0,0,0,0,0,0
395,Not found,952111196,,,0,0,0,0,0,0,0,0,0
396,Not found,952111196,,,0,0,0,0,0,0,0,0,0
397,Not found,952111196,,,0,0,0,0,0,0,0,0,0
398,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2021.0,06-30-2022,92084,0,0,0,0,391086,481445,0,872531
399,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2020.0,06-30-2021,92084,0,0,0,0,422615,692114,0,1114729
400,"OPERATION HOPE
NORTH COUNTY INCORPORATED",571214920,2019.0,06-30-2020,92084,0,0,0,0,124333,1028389,0,1152722
401,OPERATION HOPE - VISTA INCORPORATED,571214920,2017.0,06-30-2018,92084,0,0,0,0,75417,539143,100296,614560
402,OPERATION HOPE - VISTA INCORPORATED,571214920,2016.0,06-30-2017,92084,0,0,0,0,54430,267403,0,342522
403,ACCESS INC,952422704,2021.0,06-30-2022,92111,0,0,0,0,2333269,400608,0,2733877
404,ACCESS INC,952422704,2020.0,06-30-2021,92111,0,0,0,0,2479269,346767,0,2826036
405,Access,952422704,2019.0,06-30-2020,92111,0,0,0,0,3237974,54220,0,3292194
406,Access Inc,952422704,2018.0,06-30-2019,92111,0,0,0,0,3128388,155665,0,3284053
407,Access Inc,952422704,2017.0,06-30-2018,92111,0,0,0,0,2983795,229551,0,3213346
408,Access Inc,952422704,2016.0,06-30-2017,92111,0,0,0,0,3075472,205477,0,3280949
409,Access Inc,952422704,2015.0,06-30-2016,92111,0,0,0,0,2146844,142987,0,2289831
410,Access Inc,952422704,2014.0,06-30-2015,92111,0,0,0,0,1945811,158587,0,2104398
411,Access Inc,952422704,2013.0,06-30-2014,0,0,0,0,0,1846857,11901,0,1858758
412,Not found,952422704,,,0,0,0,0,0,0,0,0,0
413,KIKU GARDENS INC,953368020,2021.0,06-30-2022,91911,0,0,0,0,0,1600,0,1600
414,Kiku Gardens Inc,953368020,2020.0,06-30-2021,91911,0,0,0,0,0,500,0,500
415,Kiku Gardens Inc,953368020,2019.0,06-30-2020,91911,0,0,0,0,0,1375,0,1375
416,Kiku Gardens Inc,953368020,2018.0,06-30-2019,91911,0,0,0,0,0,4500,0,4500
417,Kiku Gardens Inc,953368020,2017.0,06-30-2018,91911,0,0,0,0,0,1301200,0,1301200
418,Kiku Gardens Inc,953368020,2016.0,06-30-2017,91911,0,0,0,0,0,0,0,0
419,Kiku Gardens Inc,953368020,2015.0,06-30-2016,91911,0,0,0,0,0,160,0,1285
420,KIKU GARDENS INC,953368020,2014.0,06-30-2015,91911,0,0,0,0,0,0,0,0
421,ELDERHELP OF SAN DIEGO,952880426,2021.0,06-30-2022,92123,0,0,105366,0,451724,791373,10245,1348463
422,ELDERHELP OF SAN DIEGO,952880426,2020.0,06-30-2021,92123,0,0,109324,0,574130,1219917,37648,1903371
423,ELDERHELP OF SAN DIEGO,952880426,2019.0,06-30-2020,92123,0,0,51009,0,318368,1075276,34594,1444653
424,ELDERHELP OF SAN DIEGO,952880426,2018.0,06-30-2019,92123,0,0,53375,0,313363,762231,37263,1128969
425,ELDERHELP OF SAN DIEGO,952880426,2016.0,06-30-2017,92123,0,0,42430,0,357117,1052228,0,1451775
426,ELDERHELP OF SAN DIEGO,952880426,2015.0,06-30-2016,92123,0,0,40155,0,345108,916212,0,1301475
427,ELDERHELP OF SAN DIEGO INC,952880426,2014.0,06-30-2015,92120,0,0,26324,0,262646,721974,0,1010944
428,ELDERHELP OF SAN DIEGO INC,952880426,2013.0,06-30-2014,0,0,0,41574,0,260872,591028,1890,893474
429,Not found,952880426,,,0,0,0,0,0,0,0,0,0
430,Not found,952880426,,,0,0,0,0,0,0,0,0,0
431,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2021.0,03-31-2022,92082,0,0,0,0,19481149,5513833,142150,24994982
432,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2020.0,03-31-2021,92082,0,0,0,0,15254349,4040759,83169,19295108
433,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2019.0,03-31-2020,92082,0,0,0,0,16187588,3801316,109457,19988904
434,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2018.0,03-31-2019,92082,0,0,0,0,15031002,3433623,159069,18464625
435,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2017.0,03-31-2018,92082,0,0,0,0,14642740,3301262,142164,17944002
436,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2016.0,03-31-2017,92082,0,0,0,0,14998644,2860730,138656,17859374
437,SOUTHERN CALIFORNIA TRIBAL CHAIRMENS ASSOCIATION,237161267,2015.0,03-31-2016,92082,0,0,0,0,15121712,2746407,137017,17868119
438,Southern California Tribal Chairmens Association,237161267,2014.0,03-31-2015,92082,0,0,0,0,14582040,2690773,136381,17272813
439,Southern California Tribal Chairmens Association,237161267,2013.0,03-31-2014,0,0,0,0,0,14784217,2782242,136516,17566459
440,THINK DIGNITY,331146733,2022.0,12-31-2022,92104,0,0,63722,0,213571,256658,19922,533951
441,THINK DIGNITY,331146733,2021.0,12-31-2021,92104,0,0,45695,0,189346,273056,63404,508097
442,THINK DIGNITY,331146733,2020.0,12-31-2020,92104,0,0,0,0,217312,305452,37406,522764
443,THINK DIGNITY,331146733,2019.0,12-31-2019,92104,0,0,48628,0,129001,125440,43807,303069
444,THINK DIGNITY,331146733,2018.0,12-31-2018,92104,0,0,33682,0,114747,324226,25426,472655
445,THINK DIGNITY,331146733,2017.0,12-31-2017,92104,0,4925,11158,0,106172,255771,0,381968
446,Think Dignity,331146733,2016.0,12-31-2016,92104,0,3445,20231,0,121084,114551,11272,259311
447,Girls Think Tank,331146733,2014.0,12-31-2014,92101,0,8885,0,0,0,94368,0,103253
448,VOICES OF OUR CITY CHOIR INC,822363154,2021.0,12-31-2021,92112,0,0,0,0,98522,524278,17583,622800
449,Voices of Our City Choir Inc,822363154,2020.0,12-31-2020,92112,0,0,0,0,70500,330590,0,401090
450,Voices of Our City Choir Inc,822363154,2019.0,12-31-2019,92112,0,0,0,0,0,237154,0,237154
451,DREAMS FOR CHANGE INC,270447059,2021.0,12-31-2021,92176,0,0,0,0,845519,229074,0,1074593
452,DREAMS FOR CHANGE INC,270447059,2020.0,12-31-2020,92176,0,0,0,0,717584,434903,0,1152487
453,Dreams for Change,270447059,2019.0,12-31-2019,92176,0,0,0,0,600504,421536,0,1022040
454,Dreams for Change,270447059,2018.0,12-31-2018,92176,0,0,0,0,345041,492397,0,837438
455,Dreams for Change,270447059,2017.0,12-31-2017,92176,0,0,0,0,13723,589875,0,603598
456,Dreams for Change,270447059,2016.0,12-31-2016,92176,0,0,0,0,0,367905,0,367905
457,Dreams for Change,270447059,2015.0,12-31-2015,92176,0,0,0,0,0,363988,0,363988
458,Dreams for Change,270447059,2014.0,12-31-2014,92176,0,0,0,0,0,206298,0,206298
459,Dreams for Change,270447059,2013.0,12-31-2013,0,0,0,0,0,23051,82706,0,105757
460,Not found,270447059,,,0,0,0,0,0,0,0,0,0
461,SAN DIEGO EAST COUNTY CHAMBER FDN,330553704,2021.0,06-30-2022,92020,0,0,0,0,0,9025,0,9025
462,SAN DIEGO EAST COUNTY CHAMBER FDN,330553704,2020.0,06-30-2021,92020,0,0,0,0,0,26081,0,26081
463,SAN DIEGO EAST COUNTY CHAMBER FDN,330553704,2019.0,06-30-2020,92020,0,0,0,0,7000,270323,0,277323
464,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2020.0,06-30-2021,92123,0,0,72703,7303371,21236898,13159624,247272,41772596
465,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2019.0,06-30-2020,92123,0,0,8530,2200000,16665713,12516117,122210,31390360
466,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2018.0,06-30-2019,92123,0,0,382685,2042808,11727667,15812839,126480,29965999
467,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2017.0,06-30-2018,92123,0,0,291286,1531126,7074276,7917964,286966,16814652
468,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2016.0,06-30-2017,92123,158030,0,223371,100000,8064950,7980152,118276,16526503
469,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2015.0,06-30-2016,92123,0,0,88548,70000,7628861,6851622,149927,14639031
470,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2014.0,06-30-2015,92123,0,0,249428,50000,7072121,6723581,175948,14095130
471,JEWISH FAMILY SERVICE OF SAN DIEGO,951644024,2013.0,06-30-2014,0,0,0,131648,1159200,6741356,7313739,140200,15345943
472,Not found,951644024,,,0,0,0,0,0,0,0,0,0
473,Not found,951644024,,,0,0,0,0,0,0,0,0,0
474,Not found,951644024,,,0,0,0,0,0,0,0,0,0
475,Not found,951644024,,,0,0,0,0,0,0,0,0,0
476,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2020.0,06-30-2021,92112,9190,0,0,0,11606920,4238141,0,15854251
477,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2019.0,06-30-2020,92112,21301,0,0,0,7876775,2735170,0,10633246
478,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2018.0,06-30-2019,92112,50794,0,5748,0,7519954,2379161,0,9955657
479,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2017.0,06-30-2018,92112,91200,0,28745,0,0,2116667,0,2236612
480,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2016.0,06-30-2017,92112,77085,0,53000,0,0,1952123,0,2082208
481,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2015.0,06-30-2016,92101,121494,0,57035,0,0,2955261,0,3133790
482,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2014.0,06-30-2015,92101,120174,0,143749,0,0,1755127,0,2019050
483,CATHOLIC CHARITIES DIOCESE OF SAN DIEGO,237334012,2013.0,06-30-2014,0,116799,0,196830,0,0,1845723,0,2159352
484,Not found,237334012,,,0,0,0,0,0,0,0,0,0
485,Not found,237334012,,,0,0,0,0,0,0,0,0,0
486,Not found,237334012,,,0,0,0,0,0,0,0,0,0
487,EQUALITY ALLIANCE OF SAN DIEGO,261712580,2022.0,12-31-2022,92112,0,0,0,0,0,7171594,0,7171594
488,EQUALITY ALLIANCE OF SAN DIEGO,261712580,2021.0,12-31-2021,92112,0,0,72165,0,0,4616925,0,4689090
